k,features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
3,"['Max_Rainfall_30day', 'R3d', 'R30d']",0.7317880794701986,0.720125786163522,0.7582781456953642,0.7387096774193549,0.839875444059471,0.16517487417218543,,2.5737
3,"['Max_Rainfall_30day', 'R3d', 'API_14']",0.7450331125827815,0.7327044025157232,0.7715231788079471,0.7516129032258064,0.8381759571948599,0.1642129271523179,,2.5899
3,"['Max_Rainfall_30day', 'R7d', 'R30d']",0.7350993377483444,0.721875,0.7649006622516556,0.7427652733118971,0.8283847199684223,0.16962314569536424,,2.604
3,"['Max_Rainfall_30day', 'R7d', 'API_14']",0.7466887417218543,0.7380191693290735,0.7649006622516556,0.751219512195122,0.8250844261216613,0.17130475496688743,,2.5715
3,"['Max_Rainfall_30day', 'R30d', 'API_14']",0.7450331125827815,0.7341772151898734,0.7682119205298014,0.7508090614886731,0.8269922371825797,0.17115867549668876,,2.5761
3,"['Max_Rainfall_3day', 'R1d', 'R3d']",0.6307947019867549,0.6186186186186187,0.6821192052980133,0.6488188976377953,0.720724968203149,0.21860771781042335,,2.5716
3,"['Max_Rainfall_3day', 'R1d', 'R7d']",0.7268211920529801,0.7147335423197492,0.7549668874172185,0.7342995169082126,0.7953708170694267,0.18861913236662323,,2.5547
3,"['Max_Rainfall_3day', 'R1d', 'R30d']",0.7201986754966887,0.6996996996996997,0.7715231788079471,0.7338582677165354,0.8089557475549316,0.1878107284768212,,2.567
3,"['Max_Rainfall_3day', 'R1d', 'API_14']",0.7185430463576159,0.7,0.7649006622516556,0.7310126582278481,0.8030514012543309,0.18840805298013244,,2.5459
3,"['Max_Rainfall_3day', 'R3d', 'R7d']",0.7284768211920529,0.7269736842105263,0.7317880794701986,0.7293729372937293,0.786840489452217,0.19128807482765742,,2.5794
3,"['Max_Rainfall_3day', 'R3d', 'R30d']",0.7284768211920529,0.7103658536585366,0.7715231788079471,0.7396825396825397,0.8080018420244724,0.18697026490066226,,2.5784
3,"['Max_Rainfall_3day', 'R3d', 'API_14']",0.7334437086092715,0.719626168224299,0.7649006622516556,0.7415730337078652,0.8126069032059997,0.18147828476821193,,2.5871
3,"['Max_Rainfall_3day', 'R7d', 'R30d']",0.7417218543046358,0.7295597484276729,0.7682119205298014,0.7483870967741936,0.8438774615148459,0.1617713311258278,,2.5592
3,"['Max_Rainfall_3day', 'R7d', 'API_14']",0.7764900662251656,0.7792642140468228,0.7715231788079471,0.7753743760399334,0.842517872023157,0.1589252847682119,,2.5469
3,"['Max_Rainfall_3day', 'R30d', 'API_14']",0.7483443708609272,0.7245508982035929,0.8013245033112583,0.7610062893081762,0.8503903337572913,0.15974472185430466,,2.5516
3,"['R1d', 'R3d', 'R7d']",0.7235099337748344,0.7184466019417476,0.7350993377483444,0.7266775777414075,0.7817036533485372,0.19374645814761193,,2.6242
3,"['R1d', 'R3d', 'R30d']",0.7168874172185431,0.6955223880597015,0.7715231788079471,0.7315541601255887,0.8022126222534098,0.18972666225165563,,2.5512
3,"['R1d', 'R3d', 'API_14']",0.7168874172185431,0.7015384615384616,0.7549668874172185,0.7272727272727273,0.8014341476251041,0.1880440927152318,,2.5816
3,"['R1d', 'R7d', 'R30d']",0.7466887417218543,0.7320872274143302,0.7781456953642384,0.7544141252006421,0.8274966010262708,0.17123876821192055,,2.6328
3,"['R1d', 'R7d', 'API_14']",0.7168874172185431,0.6955223880597015,0.7715231788079471,0.7315541601255887,0.8088022455155475,0.18190069536423842,,2.6955
3,"['R1d', 'R30d', 'API_14']",0.7400662251655629,0.7230769230769231,0.7781456953642384,0.7496012759170654,0.8341465286610237,0.1684462582781457,,2.5572
3,"['R3d', 'R7d', 'R30d']",0.7284768211920529,0.7169811320754716,0.7549668874172185,0.7354838709677419,0.8254243234945835,0.17049195364238412,,2.5607
3,"['R3d', 'R7d', 'API_14']",0.7582781456953642,0.76,0.7549668874172185,0.7574750830564784,0.8267948774176571,0.1677672913907285,,2.5462
3,"['R3d', 'R30d', 'API_14']",0.7400662251655629,0.7272727272727273,0.7682119205298014,0.7471819645732689,0.8371124073505548,0.1638371920529801,,2.5702
3,"['R7d', 'R30d', 'API_14']",0.7235099337748344,0.7039274924471299,0.7715231788079471,0.7361769352290679,0.829568878557958,0.1710339271523179,,2.5746
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'Max_Rainfall_3day', 'R1d']",0.7417218543046358,0.7310126582278481,0.7649006622516556,0.7475728155339806,0.8439871058286916,0.16356249006622517,,2.5969
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'Max_Rainfall_3day', 'R3d']",0.7301324503311258,0.7125382262996942,0.7715231788079471,0.7408585055643879,0.8413556422963905,0.1663126953642384,,2.6433
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'Max_Rainfall_3day', 'R7d']",0.7549668874172185,0.7452229299363057,0.7748344370860927,0.7597402597402597,0.8492445506776017,0.15892623178807946,,2.6042
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'Max_Rainfall_3day', 'R30d']",0.7417218543046358,0.7212121212121212,0.7880794701986755,0.7531645569620253,0.8402866102363932,0.16872886754966887,,2.6
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'Max_Rainfall_3day', 'API_14']",0.7400662251655629,0.7217125382262997,0.7814569536423841,0.7503974562798092,0.8505164247182142,0.1594235562913907,,2.6402
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R1d', 'R3d']",0.7400662251655629,0.7272727272727273,0.7682119205298014,0.7471819645732689,0.8380224551554756,0.16475383443708608,,2.6343
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R1d', 'R7d']",0.7367549668874173,0.7241379310344828,0.7649006622516556,0.7439613526570048,0.83404236656287,0.1661935894039735,,2.5965
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R1d', 'R30d']",0.7483443708609272,0.7373417721518988,0.7715231788079471,0.7540453074433657,0.8320961799921056,0.1713381854304636,,2.733
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R1d', 'API_14']",0.7384105960264901,0.7236024844720497,0.7715231788079471,0.7467948717948718,0.8398644796280865,0.16338567549668873,,2.6339
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R3d', 'R7d']",0.7417218543046358,0.7310126582278481,0.7649006622516556,0.7475728155339806,0.8392833647647033,0.16336268874172186,,2.6387
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R3d', 'R30d']",0.7334437086092715,0.7169230769230769,0.7715231788079471,0.7432216905901117,0.8353197228191747,0.17056972185430463,,2.6739
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R3d', 'API_14']",0.7367549668874173,0.7213622291021672,0.7715231788079471,0.7456,0.8441406078680759,0.16078928476821192,,2.7254
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R7d', 'R30d']",0.7268211920529801,0.7069486404833837,0.7748344370860927,0.7393364928909952,0.824815797552739,0.17690626490066227,,2.8419
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R7d', 'API_14']",0.7268211920529801,0.7069486404833837,0.7748344370860927,0.7393364928909952,0.8318659269330292,0.17042934437086094,,2.844
4,"['Avg_Rainfall_30day', 'Max_Rainfall_30day', 'R30d', 'API_14']",0.7466887417218543,0.7320872274143302,0.7781456953642384,0.7544141252006421,0.8290590324985747,0.17313614569536423,,2.8366
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R3d']",0.7201986754966887,0.7021276595744681,0.7649006622516556,0.7321711568938193,0.8020810490767949,0.18975460264900665,,2.7173
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R7d']",0.7301324503311258,0.7099697885196374,0.7781456953642384,0.7424960505529226,0.8372220516644006,0.1670694834437086,,2.6011
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'R30d']",0.7251655629139073,0.6942857142857143,0.804635761589404,0.745398773006135,0.8193829218016754,0.18283030463576155,,2.6354
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R1d', 'API_14']",0.7384105960264901,0.7168674698795181,0.7880794701986755,0.750788643533123,0.8416955396693127,0.1649343509933775,,2.7613
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R7d']",0.7367549668874173,0.7255520504731862,0.7615894039735099,0.7431340872374798,0.8333899828954872,0.1677809072847682,,2.6095
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'R30d']",0.7417218543046358,0.7225609756097561,0.7847682119205298,0.7523809523809524,0.8161758256216832,0.1835598013245033,,2.58
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R3d', 'API_14']",0.7367549668874173,0.72,0.7748344370860927,0.7464114832535885,0.839129862725319,0.1636527880794702,,2.5832
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'R30d']",0.7417218543046358,0.7225609756097561,0.7847682119205298,0.7523809523809524,0.8373755537037849,0.16914624503311257,,2.6395
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R7d', 'API_14']",0.7350993377483444,0.7232704402515723,0.7615894039735099,0.7419354838709677,0.8441515722994606,0.1600217417218543,,5.631
4,"['Avg_Rainfall_30day', 'Max_Rainfall_3day', 'R30d', 'API_14']",0.7450331125827815,0.7228915662650602,0.7947019867549668,0.7570977917981072,0.8509166264637515,0.16244813245033113,,4.3316
4,"['Avg_Rainfall_30day', 'R1d', 'R3d', 'R7d']",0.7201986754966887,0.7021276595744681,0.7649006622516556,0.7321711568938193,0.8208028156659796,0.17449828476821191,,2.7409
