feature,coef,se,z,pval,OR,CI_lower,CI_upper
const,0.0031051475736608505,0.09250917345371511,0.03356583415172812,0.9732233673043923,1.0031099735382059,0.836767101885065,1.2025205301988937
Max_Rainfall_30day,0.7150365975016525,0.1993901988122671,3.586117079781262,0.0003356383141408476,2.044261495753024,1.3829777840491213,3.0217441749374907
R30d,-0.7286641103738227,0.23319299091360243,-3.1247256082572026,0.0017797098747867246,0.4825531975100257,0.30552796258225895,0.7621482055491283
R7d,0.2207777755278743,0.13045361096599872,1.6923853153088846,0.0905725304007719,1.2470462755695895,0.9656956045207885,1.6103670826830478
R3d,-0.10176436707093486,0.10672357771767187,-0.9535321926720244,0.3403204931509195,0.9032423602385375,0.7327587664479738,1.11339065281208
