index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
2,57.71900177001953,57.165000915527344,50.51900100708008,146.47700119018555,57.71900177001953,57.165000915527344,50.51900100708008,146.47700119018555,-0.04099488498989324,-0.0843702031675758,0.057428328440473755,-0.05154871746141115,0.5014854771784234,-0.11948547717840645,0.23434213405935395,0.382,0,0,0,2020-05-22 04:51:09,,2020-05-22 04:51:09,308625.51698581566,220746.64462786613,,,,NonLandslide,2017_2021,1672002.0,DEA
5,77.8572998046875,7.392399787902832,0.0,8.712899804115295,77.8572998046875,7.392399787902832,0.0,8.712899804115295,0.1552437874740101,0.1535971479272193,0.07571681210409512,0.11395677531626357,0.5014854771784234,0.49851452282158804,0.49851452282158804,1.0,1,1,1,2021-08-24 00:00:00,2021-08-24,,291056.044408626,197673.44689506,Buncombe,{B15A2A55-6109-4150-9F55-B80DBEE4969F},115165.0,Landslide,2017_2021,1672007.0,EDF
8,18.163000106811523,0.0,0.0,0.0,18.163000106811523,0.0,0.0,0.0,-0.21348765831972472,-0.07113142345854205,0.006677421518916421,-0.07954381691906684,0.5014854771784234,-0.35748547717841717,0.37084032021625,0.144,0,1,1,2005-05-11 00:00:00,2005-05-11,,301676.953400001,221776.3895,Buncombe,{B45EC937-033E-44FC-848D-B68CD783798D},58159.0,Landslide,2005_2010,1671995.0,CXF
9,42.99399948120117,0.0,0.0,0.0,42.99399948120117,0.0,0.0,0.0,-0.2344051900486366,-0.10992761892141745,-0.0013284604903978535,-0.14782420771796478,0.5014854771784234,-0.4934854771784167,0.4934854771784167,0.008,0,0,0,2017-05-20 07:49:53,,2017-05-20 07:49:53,300177.2599256228,215329.19244520125,,,,NonLandslide,2017_2021,1671927.0,ACD
11,31.381999969482425,0.5619999766349792,0.0,0.5619999766349792,31.381999969482425,0.5619999766349792,0.0,0.5619999766349792,0.13112260420866392,0.17857926343960787,0.05189642621852239,0.11891622895479331,0.5014854771784234,0.4805145228215875,0.4805145228215875,0.982,1,1,1,2008-02-25 00:00:00,2008-02-25,,267436.547499999,209686.920000002,Buncombe,{735AFDC8-F08A-4B6E-AAF2-E0EB55D26070},59142.0,Landslide,2005_2010,1672192.0,UKF
18,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,-0.044104873386878296,-0.03382757768452582,-0.15077356851045814,-0.02077945759655523,0.5014854771784234,-0.2494854771784175,0.2494854771784175,0.252,0,1,1,2008-06-30 00:00:00,2008-06-30,,300827.453599997,233842.304400001,Buncombe,{FF8147D4-30D3-420D-B5B0-06FB2E781C5C},59527.0,Landslide,2005_2010,1672015.0,EWD
27,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,0.07150397328590077,0.13228011652577965,0.151959914808819,0.14277051820109216,0.5014854771784234,0.4985145228215916,0.4985145228215916,1.0,1,1,1,2008-02-29 00:00:00,2008-02-29,,270053.132299997,213602.258499999,Buncombe,{388DA286-13B8-4428-8477-A2F888F5B5CC},59275.0,Landslide,2005_2010,1672007.0,EDF
30,30.73500061035156,21.74099922180176,21.74099922180176,35.30599880218506,30.73500061035156,21.74099922180176,21.74099922180176,35.30599880218506,-0.06714848346595284,-0.07836670100136432,-0.06394150870748437,-0.058028784003601785,0.5014854771784234,-0.2674854771784033,0.2674854771784033,0.234,0,0,0,2019-10-28 05:05:43,,2019-10-28 05:05:43,269415.79234918347,219422.4598037967,,,,NonLandslide,2017_2021,1672007.0,EDF
31,20.465999603271484,14.765999794006348,14.765999794006348,30.86899995803833,20.465999603271484,14.765999794006348,14.765999794006348,30.86899995803833,0.02344871768287869,0.10764058963285675,0.11493766354168598,0.18848755196417477,0.5014854771784234,0.4345145228215962,0.4345145228215962,0.936,1,1,1,2008-04-07 00:00:00,2008-04-07,,293278.329259848,200751.357855296,Buncombe,{B1152BF6-4E10-4CB2-B342-56384D38BF0D},60911.0,Landslide,2005_2010,1672006.0,EDE
33,20.802000045776367,1.7489999532699585,0.0,1.7489999532699585,20.802000045776367,1.7489999532699585,0.0,1.7489999532699585,-0.20078646611861217,0.10293792958386581,-0.005858948258652127,0.05622200761498471,0.5014854771784234,-0.047485477178413775,0.3658053515761148,0.454,0,1,1,2013-09-16 00:00:00,2013-09-16 00:00:00,,296868.064842677,195664.656992986,Buncombe,{3D73426C-8CEA-4D86-8DB1-DFA860053CDF},61175.0,Landslide,2011_2016,1672082.0,SYE
45,12.65999984741211,2.188999891281128,0.0,2.9089999198913574,12.65999984741211,2.188999891281128,0.0,2.9089999198913574,0.020634603170560203,0.08686131723946391,0.04663645974551506,0.07238214266604338,0.5014854771784234,0.22651452282158258,0.22651452282158258,0.728,1,1,1,2008-06-25 00:00:00,2008-06-25,,296269.931100003,228713.737500001,Buncombe,{65F254DD-DEDD-47B5-BBEC-723EFAC0917B},59351.0,Landslide,2005_2010,1672096.0,TPE
46,43.92300033569336,0.4449999928474426,0.0,0.4449999928474426,43.92300033569336,0.4449999928474426,0.0,0.4449999928474426,-0.11392173782611362,-0.058809241492699324,0.005872216531472979,-0.11462671439107591,0.5014854771784234,-0.2814854771784159,0.2932299102413618,0.22,0,0,0,2019-09-22 15:11:46,,2019-09-22 15:11:46,290373.91743072,195537.37163446145,,,,NonLandslide,2017_2021,1672107.0,UD
