"2"|"26786268"|"6037249"
"2"|"26786194"|"6037248"
"2"|"26786284"|"6037250"
"2"|"26786293"|"6037251"
"2"|"26786302"|"6037252"
"2"|"26786308"|"6037253"
"2"|"26786309"|"6037254"
"2"|"26786310"|"6037255"
"2"|"26786437"|"6037267"
"2"|"26786317"|"6037256"
"2"|"26786318"|"6037257"
"2"|"26786322"|"6037258"
"2"|"26786445"|"6037268"
"2"|"26786334"|"6037259"
"2"|"26786366"|"6037264"
"2"|"26786346"|"6037260"
"2"|"26786353"|"6037261"
"2"|"26786354"|"6037262"
"2"|"26786357"|"6037263"
"2"|"26786377"|"6037265"
"2"|"26786381"|"6037266"
"2"|"26786467"|"6037269"
"2"|"26786474"|"6037270"
"2"|"26786494"|"6037271"
"2"|"26786496"|"6037272"
