"A-6"|Yes|"77518586"|"126600070"
"A-8"|Yes|"77519003"|"126600735"
"A-6"|Yes|"77519075"|"126600828"
"A-2-4"|Yes|"77519149"|"126600959"
"A-1-b"|No |"77519149"|"126600958"
"A-2-4"|Yes|"77518740"|"126600286"
"A-1-b"|No |"77518740"|"126600285"
"A-4"|No |"77518740"|"126600287"
"A-2-4"|No |"77518856"|"126600489"
"A-1-b"|Yes|"77518856"|"126600488"
"A-1-a"|No |"77518856"|"126600490"
"A-4"|Yes|"77519269"|"126601145"
"A-2-4"|Yes|"77518663"|"126600183"
"A-4"|No |"77518663"|"126600184"
"A-4"|No |"77518792"|"126600376"
"A-6"|Yes|"77518792"|"126600377"
"A-7-6"|Yes|"77518867"|"126600508"
"A-2-4"|Yes|"77518729"|"126600272"
"A-8"|Yes|"77519024"|"126600764"
"A-4"|Yes|"77518821"|"126600424"
"A-6"|Yes|"77519097"|"126600869"
"A-7-6"|No |"77519097"|"126600870"
"A-7-5"|Yes|"77518929"|"126600619"
"A-2-4"|Yes|"77519243"|"126601091"
"A-4"|No |"77519243"|"126601092"
"A-6"|No |"77518581"|"126600062"
"A-7-6"|Yes|"77518581"|"126600063"
"A-2-4"|No |"77519256"|"126601117"
"A-4"|Yes|"77519256"|"126601118"
"A-2-4"|No |"77518648"|"126600167"
"A-4"|No |"77518648"|"126600168"
"A-5"|Yes|"77518648"|"126600169"
"A-6"|Yes|"77518972"|"126600685"
"A-7-6"|No |"77518972"|"126600686"
"A-2-6"|Yes|"77519086"|"126600846"
"A-2-4"|No |"77519086"|"126600848"
"A-6"|No |"77519086"|"126600847"
"A-2-4"|No |"77518534"|"126599970"
"A-4"|Yes|"77518534"|"126599971"
"A-4"|Yes|"77519235"|"126601082"
"A-2-4"|Yes|"77519258"|"126601121"
"A-4"|No |"77519258"|"126601122"
"A-3"|No |"77518623"|"126600124"
"A-2-4"|No |"77518623"|"126600123"
"A-1-b"|Yes|"77518623"|"126600122"
"A-6"|Yes|"77518774"|"126600346"
"A-7-6"|No |"77518774"|"126600347"
"A-4"|Yes|"77519234"|"126601081"
"A-2-6"|Yes|"77518589"|"126600073"
"A-8"|Yes|"77519016"|"126600754"
"A-2-6"|Yes|"77518748"|"126600299"
"A-6"|No |"77518748"|"126600300"
"A-7-6"|No |"77518748"|"126600298"
"A-2-4"|No |"77518918"|"126600594"
"A-4"|No |"77518918"|"126600593"
"A-5"|Yes|"77518918"|"126600595"
"A-2-4"|No |"77519223"|"126601068"
"A-4"|Yes|"77519223"|"126601069"
"A-4"|Yes|"77518578"|"126600057"
"A-6"|No |"77518578"|"126600058"
"A-6"|Yes|"77519161"|"126600985"
"A-7-6"|No |"77519161"|"126600984"
"A-4"|Yes|"77519066"|"126600817"
"A-2-4"|No |"77519332"|"126601240"
"A-4"|Yes|"77519332"|"126601241"
"A-6"|No |"77519332"|"126601239"
"A-7-5"|Yes|"77518508"|"126599922"
"A-4"|Yes|"77519119"|"126600907"
"A-6"|No |"77519119"|"126600908"
"A-4"|Yes|"77518681"|"126600205"
"A-4"|No |"77519306"|"126601208"
"A-5"|Yes|"77519306"|"126601209"
"A-2-4"|No |"77518876"|"126600528"
"A-1-b"|No |"77518876"|"126600527"
"A-4"|Yes|"77518876"|"126600529"
"A-2-4"|Yes|"77518992"|"126600719"
"A-4"|No |"77518992"|"126600720"
"A-2-6"|Yes|"77519087"|"126600850"
"A-7-6"|No |"77519087"|"126600849"
"A-4"|Yes|"77518907"|"126600581"
"A-4"|No |"77518541"|"126599984"
"A-6"|Yes|"77518541"|"126599985"
"A-7-6"|No |"77518541"|"126599986"
"A-2-4"|No |"77518785"|"126600364"
"A-4"|Yes|"77518785"|"126600365"
"A-2-6"|Yes|"77518900"|"126600572"
"A-1-b"|No |"77518900"|"126600571"
"A-4"|No |"77518475"|"126599869"
"A-6"|Yes|"77518475"|"126599868"
"A-4"|No |"77518868"|"126600510"
"A-5"|No |"77518868"|"126600511"
"A-6"|Yes|"77518868"|"126600509"
"A-7-6"|No |"77518868"|"126600512"
"A-6"|Yes|"77518530"|"126599963"
"A-2-4"|Yes|"77519233"|"126601079"
"A-4"|No |"77519233"|"126601080"
"A-2-4"|Yes|"77519077"|"126600831"
"A-4"|No |"77519077"|"126600832"
"A-2-4"|Yes|"77518600"|"126600084"
"A-4"|No |"77518600"|"126600085"
"A-6"|No |"77518633"|"126600146"
"A-7-6"|Yes|"77518633"|"126600147"
"A-4"|Yes|"77518707"|"126600243"
"A-6"|Yes|"77519108"|"126600888"
"A-7-6"|No |"77519108"|"126600887"
"A-5"|No |"77518889"|"126600549"
"A-7-5"|Yes|"77518889"|"126600550"
"A-4"|Yes|"77518807"|"126600402"
"A-5"|No |"77518807"|"126600403"
