"Loam"||"157195315"|"159878034"
"Coarse sandy loam"||"157194355"|"159877073"
"Loam"||"157195547"|"159878266"
"Clay loam"||"157193997"|"159876715"
"Fine sandy loam"||"157195057"|"159877776"
"Loamy sand"||"157195401"|"159878120"
"Sandy loam"||"157194111"|"159876829"
"Silt loam"||"157194965"|"159877684"
|"Bedrock"|"157194872"|"159877591"
"Sandy loam"||"157194758"|"159877477"
"Fine sandy loam"||"157195826"|"159878545"
"Sandy clay loam"||"157195722"|"159878441"
"Silty clay loam"||"157195031"|"159877750"
|"Weathered bedrock"|"157195388"|"159878107"
"Sandy loam"||"157194700"|"159877419"
"Sandy loam"||"157194429"|"159877147"
"Loam"||"157195147"|"159877866"
"Silt loam"||"157193986"|"159876702"
"Loam"||"157195263"|"159877982"
"Sandy loam"||"157195534"|"159878253"
"Clay loam"||"157194928"|"159877647"
"Loam"||"157194747"|"159877466"
"Loam"||"157194163"|"159876881"
"Sandy clay loam"||"157195495"|"159878214"
"Clay"||"157194282"|"159877000"
"Fine sandy loam"||"157195379"|"159878098"
"Silt loam"||"157194976"|"159877695"
"Loam"||"157193960"|"159876676"
"Loam"||"157194244"|"159876962"
"Fine sandy loam"||"157195753"|"159878472"
"Fine sandy loam"||"157195316"|"159878035"
"Clay"||"157193882"|"159876598"
"Sandy loam"||"157194377"|"159877095"
"Loam"||"157195284"|"159878003"
|"Weathered bedrock"|"157194033"|"159876751"
"Loam"||"157195830"|"159878549"
"Sandy loam"||"157194063"|"159876781"
"Loam"||"157195482"|"159878201"
"Loam"||"157193893"|"159876609"
"Sandy loam"||"157194089"|"159876807"
"Sandy clay loam"||"157195039"|"159877758"
"Loam"||"157195586"|"159878305"
"Loam"||"157194914"|"159877633"
"Loam"||"157194846"|"159877565"
"Loam"||"157194366"|"159877084"
"Sandy clay loam"||"157194682"|"159877401"
|"Bedrock"|"157194909"|"159877628"
"Sandy clay loam"||"157195305"|"159878024"
"Fine sandy loam"||"157195274"|"159877993"
"Sandy loam"||"157194630"|"159877349"
"Loam"||"157194052"|"159876770"
|"Weathered bedrock"|"157195545"|"159878264"
"Sandy clay loam"||"157194398"|"159877116"
"Loam"||"157193804"|"159876520"
"Loam"||"157195148"|"159877867"
"Sandy loam"||"157194693"|"159877412"
"Loam"||"157194514"|"159877233"
"Sandy loam"||"157194192"|"159876910"
"Fine sandy loam"||"157194536"|"159877255"
"Loam"||"157195748"|"159878467"
|"Weathered bedrock"|"157193845"|"159876561"
"Sand"||"157194501"|"159877219"
"Fine sandy loam"||"157193835"|"159876551"
"Sandy clay loam"||"157195326"|"159878045"
"Clay loam"||"157195493"|"159878212"
|"Unweathered bedrock"|"157194255"|"159876973"
"Sandy loam"||"157194100"|"159876818"
"Loam"||"157194710"|"159877429"
"Loamy sand"||"157195355"|"159878074"
"Silt loam"||"157194271"|"159876989"
|"Unweathered bedrock"|"157195764"|"159878483"
"Sandy loam"||"157195232"|"159877951"
"Loam"||"157195159"|"159877878"
"Fine sandy loam"||"157195390"|"159878109"
"Sandy loam"||"157195793"|"159878512"
"Loam"||"157194503"|"159877221"
"Fine sandy loam"||"157195231"|"159877950"
|"Bedrock"|"157194987"|"159877706"
"Sandy clay loam"||"157194471"|"159877189"
"Sandy loam"||"157194862"|"159877581"
"Sandy loam"||"157195597"|"159878316"
"Loamy fine sand"||"157194619"|"159877338"
"Fine sandy loam"||"157194367"|"159877085"
"Fine sandy loam"||"157195451"|"159878170"
|"Moderately decomposed plant material"|"157195120"|"159877839"
|"Unweathered bedrock"|"157194586"|"159877305"
"Sandy clay"||"157194174"|"159876892"
"Loam"||"157193949"|"159876665"
"Sandy clay loam"||"157195464"|"159878183"
"Fine sandy loam"||"157195136"|"159877855"
"Loam"||"157195068"|"159877787"
"Loam"||"157194606"|"159877325"
"Sandy loam"||"157195366"|"159878085"
"Fine sandy loam"||"157194049"|"159876767"
"Loam"||"157194387"|"159877105"
|"Weathered bedrock"|"157194721"|"159877440"
"Sandy loam"||"157195653"|"159878372"
"Loamy fine sand"||"157195711"|"159878430"
|"Unweathered bedrock"|"157195804"|"159878523"
"Sandy clay loam"||"157194888"|"159877607"
"Loam"||"157194490"|"159877208"
"Fine sandy loam"||"157194007"|"159876725"
"Fine sandy loam"||"157194825"|"159877544"
"Fine sandy loam"||"157195558"|"159878277"
"Fine sandy loam"||"157193817"|"159876533"
"Loam"||"157194272"|"159876990"
"Sandy loam"||"157194122"|"159876840"
"Sandy clay loam"||"157194669"|"159877388"
"Fine sandy loam"||"157194836"|"159877555"
"Fine sandy loam"||"157195412"|"159878131"
"Loam"||"157194883"|"159877602"
"Fine sandy loam"||"157194148"|"159876866"
"Loamy fine sand"||"157194617"|"159877336"
"Fine sandy loam"||"157193834"|"159876550"
"Loam"||"157194070"|"159876788"
"Fine sandy loam"||"157194513"|"159877232"
"Loam"||"157195790"|"159878509"
"Silt loam"||"157194237"|"159876955"
"Sandy loam"||"157194211"|"159876929"
"Loam"||"157193838"|"159876554"
"Loam"||"157195745"|"159878464"
|"Unweathered bedrock"|"157194096"|"159876814"
"Sand"||"157194357"|"159877075"
"Sandy clay loam"||"157194418"|"159877136"
"Loamy sand"||"157194784"|"159877503"
"Sandy loam"||"157195452"|"159878171"
"Fine sandy loam"||"157195515"|"159878234"
"Fine sandy loam"||"157195756"|"159878475"
"Fine sandy loam"||"157194847"|"159877566"
"Fine sandy loam"||"157195087"|"159877806"
"Sandy loam"||"157195525"|"159878244"
"Loam"||"157195178"|"159877897"
"Sandy loam"||"157194041"|"159876759"
"Loam"||"157194628"|"159877347"
