2315|"588566"|"1671927"|"35353491"
2315|"588567"|"1671927"|"35353632"
2315|"588568"|"1671927"|"35353773"
2315|"588569"|"1671927"|"35353914"
2315|"588570"|"1671927"|"35354055"
|"588571"|"1671927"|"35354196"
2315|"588572"|"1671927"|"35354263"
2315|"588573"|"1671927"|"35354404"
8535|"588566"|"1671928"|"35353519"
8535|"588567"|"1671928"|"35353660"
8535|"588568"|"1671928"|"35353801"
8535|"588569"|"1671928"|"35353942"
8535|"588570"|"1671928"|"35354083"
|"588571"|"1671928"|"35354200"
8535|"588572"|"1671928"|"35354291"
8535|"588573"|"1671928"|"35354432"
12703|"588566"|"1671929"|"35353520"
12703|"588567"|"1671929"|"35353661"
12703|"588568"|"1671929"|"35353802"
12703|"588569"|"1671929"|"35353943"
12703|"588570"|"1671929"|"35354084"
|"588571"|"1671929"|"35354201"
12703|"588572"|"1671929"|"35354292"
12703|"588573"|"1671929"|"35354433"
221|"588566"|"1671930"|"35353492"
221|"588567"|"1671930"|"35353633"
221|"588568"|"1671930"|"35353774"
221|"588569"|"1671930"|"35353915"
221|"588570"|"1671930"|"35354056"
|"588571"|"1671930"|"35354197"
221|"588572"|"1671930"|"35354264"
221|"588573"|"1671930"|"35354405"
1356|"588566"|"1671931"|"35353521"
1356|"588567"|"1671931"|"35353662"
1356|"588568"|"1671931"|"35353803"
1356|"588569"|"1671931"|"35353944"
1356|"588570"|"1671931"|"35354085"
|"588571"|"1671931"|"35354202"
1356|"588572"|"1671931"|"35354293"
1356|"588573"|"1671931"|"35354434"
559|"588566"|"1671932"|"35353522"
559|"588567"|"1671932"|"35353663"
559|"588568"|"1671932"|"35353804"
559|"588569"|"1671932"|"35353945"
559|"588570"|"1671932"|"35354086"
|"588571"|"1671932"|"35354203"
559|"588572"|"1671932"|"35354294"
559|"588573"|"1671932"|"35354435"
445|"588566"|"1671935"|"35353493"
445|"588567"|"1671935"|"35353634"
445|"588568"|"1671935"|"35353775"
445|"588569"|"1671935"|"35353916"
445|"588570"|"1671935"|"35354057"
445|"588572"|"1671935"|"35354265"
445|"588573"|"1671935"|"35354406"
877|"588566"|"1671936"|"35353494"
877|"588567"|"1671936"|"35353635"
877|"588568"|"1671936"|"35353776"
877|"588569"|"1671936"|"35353917"
877|"588570"|"1671936"|"35354058"
877|"588572"|"1671936"|"35354266"
877|"588573"|"1671936"|"35354407"
534|"588566"|"1671937"|"35353575"
534|"588567"|"1671937"|"35353716"
534|"588568"|"1671937"|"35353857"
534|"588569"|"1671937"|"35353998"
534|"588570"|"1671937"|"35354139"
|"588571"|"1671937"|"35354232"
534|"588572"|"1671937"|"35354347"
534|"588573"|"1671937"|"35354488"
202|"588566"|"1671938"|"35353576"
202|"588567"|"1671938"|"35353717"
202|"588568"|"1671938"|"35353858"
202|"588569"|"1671938"|"35353999"
202|"588570"|"1671938"|"35354140"
202|"588572"|"1671938"|"35354348"
202|"588573"|"1671938"|"35354489"
187|"588566"|"1671939"|"35353523"
187|"588567"|"1671939"|"35353664"
187|"588568"|"1671939"|"35353805"
187|"588569"|"1671939"|"35353946"
187|"588570"|"1671939"|"35354087"
187|"588572"|"1671939"|"35354295"
187|"588573"|"1671939"|"35354436"
9|"588566"|"1671969"|"35353577"
9|"588567"|"1671969"|"35353718"
9|"588568"|"1671969"|"35353859"
9|"588569"|"1671969"|"35354000"
9|"588570"|"1671969"|"35354141"
9|"588572"|"1671969"|"35354349"
9|"588573"|"1671969"|"35354490"
410|"588566"|"1671973"|"35353578"
410|"588567"|"1671973"|"35353719"
410|"588568"|"1671973"|"35353860"
410|"588569"|"1671973"|"35354001"
410|"588570"|"1671973"|"35354142"
|"588571"|"1671973"|"35354233"
410|"588572"|"1671973"|"35354350"
410|"588573"|"1671973"|"35354491"
1510|"588566"|"1671974"|"35353579"
1510|"588567"|"1671974"|"35353720"
1510|"588568"|"1671974"|"35353861"
1510|"588569"|"1671974"|"35354002"
1510|"588570"|"1671974"|"35354143"
|"588571"|"1671974"|"35354234"
1510|"588572"|"1671974"|"35354351"
1510|"588573"|"1671974"|"35354492"
2260|"588566"|"1671975"|"35353524"
2260|"588567"|"1671975"|"35353665"
2260|"588568"|"1671975"|"35353806"
2260|"588569"|"1671975"|"35353947"
2260|"588570"|"1671975"|"35354088"
|"588571"|"1671975"|"35354204"
2260|"588572"|"1671975"|"35354296"
2260|"588573"|"1671975"|"35354437"
64|"588566"|"1671976"|"35353495"
64|"588567"|"1671976"|"35353636"
64|"588568"|"1671976"|"35353777"
64|"588569"|"1671976"|"35353918"
64|"588570"|"1671976"|"35354059"
64|"588572"|"1671976"|"35354267"
64|"588573"|"1671976"|"35354408"
425|"588566"|"1671977"|"35353496"
425|"588567"|"1671977"|"35353637"
425|"588568"|"1671977"|"35353778"
425|"588569"|"1671977"|"35353919"
425|"588570"|"1671977"|"35354060"
425|"588572"|"1671977"|"35354268"
425|"588573"|"1671977"|"35354409"
20|"588566"|"1671978"|"35353497"
20|"588567"|"1671978"|"35353638"
20|"588568"|"1671978"|"35353779"
20|"588569"|"1671978"|"35353920"
20|"588570"|"1671978"|"35354061"
20|"588572"|"1671978"|"35354269"
20|"588573"|"1671978"|"35354410"
39|"588566"|"1671979"|"35353498"
39|"588567"|"1671979"|"35353639"
39|"588568"|"1671979"|"35353780"
39|"588569"|"1671979"|"35353921"
39|"588570"|"1671979"|"35354062"
39|"588572"|"1671979"|"35354270"
39|"588573"|"1671979"|"35354411"
79|"588566"|"1671980"|"35353499"
79|"588567"|"1671980"|"35353640"
79|"588568"|"1671980"|"35353781"
79|"588569"|"1671980"|"35353922"
79|"588570"|"1671980"|"35354063"
79|"588572"|"1671980"|"35354271"
79|"588573"|"1671980"|"35354412"
16705|"588566"|"1671984"|"35353526"
16705|"588567"|"1671984"|"35353667"
16705|"588568"|"1671984"|"35353808"
16705|"588569"|"1671984"|"35353949"
16705|"588570"|"1671984"|"35354090"
|"588571"|"1671984"|"35354205"
16705|"588572"|"1671984"|"35354298"
16705|"588573"|"1671984"|"35354439"
2279|"588566"|"1671985"|"35353500"
2279|"588567"|"1671985"|"35353641"
2279|"588568"|"1671985"|"35353782"
2279|"588569"|"1671985"|"35353923"
2279|"588570"|"1671985"|"35354064"
|"588571"|"1671985"|"35354198"
2279|"588572"|"1671985"|"35354272"
2279|"588573"|"1671985"|"35354413"
2013|"588566"|"1671986"|"35353527"
2013|"588567"|"1671986"|"35353668"
2013|"588568"|"1671986"|"35353809"
2013|"588569"|"1671986"|"35353950"
2013|"588570"|"1671986"|"35354091"
|"588571"|"1671986"|"35354206"
2013|"588572"|"1671986"|"35354299"
2013|"588573"|"1671986"|"35354440"
19898|"588566"|"1671987"|"35353525"
19898|"588567"|"1671987"|"35353666"
19898|"588568"|"1671987"|"35353807"
19898|"588569"|"1671987"|"35353948"
19898|"588570"|"1671987"|"35354089"
19898|"588572"|"1671987"|"35354297"
19898|"588573"|"1671987"|"35354438"
2201|"588566"|"1671988"|"35353528"
2201|"588567"|"1671988"|"35353669"
2201|"588568"|"1671988"|"35353810"
2201|"588569"|"1671988"|"35353951"
2201|"588570"|"1671988"|"35354092"
|"588571"|"1671988"|"35354207"
2201|"588572"|"1671988"|"35354300"
2201|"588573"|"1671988"|"35354441"
924|"588566"|"1671989"|"35353580"
924|"588567"|"1671989"|"35353721"
924|"588568"|"1671989"|"35353862"
924|"588569"|"1671989"|"35354003"
924|"588570"|"1671989"|"35354144"
|"588571"|"1671989"|"35354235"
924|"588572"|"1671989"|"35354352"
924|"588573"|"1671989"|"35354493"
2757|"588566"|"1671990"|"35353581"
2757|"588567"|"1671990"|"35353722"
2757|"588568"|"1671990"|"35353863"
2757|"588569"|"1671990"|"35354004"
2757|"588570"|"1671990"|"35354145"
|"588571"|"1671990"|"35354236"
2757|"588572"|"1671990"|"35354353"
2757|"588573"|"1671990"|"35354494"
3498|"588566"|"1671991"|"35353530"
3498|"588567"|"1671991"|"35353671"
3498|"588568"|"1671991"|"35353812"
3498|"588569"|"1671991"|"35353953"
3498|"588570"|"1671991"|"35354094"
|"588571"|"1671991"|"35354209"
3498|"588572"|"1671991"|"35354302"
3498|"588573"|"1671991"|"35354443"
2245|"588566"|"1671992"|"35353582"
2245|"588567"|"1671992"|"35353723"
2245|"588568"|"1671992"|"35353864"
2245|"588569"|"1671992"|"35354005"
2245|"588570"|"1671992"|"35354146"
