"Argillic horizon"|18|25|33|39|56|68|25|31|49|"25942802"|"16527867"
"Argillic horizon"|18|28|37|49|81|97|39|53|78|"25942803"|"16527868"
"Paralithic contact"|102|132|152|102|132|152|0|0|0|"25942803"|"16527869"
"Ochric epipedon"|1|3|3|6|13|28|5|10|25|"25942803"|"16527870"
"Ochric epipedon"|2|3|5|6|10|15|3|7|11|"25942804"|"16527871"
"Argillic horizon"|18|25|33|39|56|68|25|31|49|"25942804"|"16527872"
"Paralithic contact"|79|81|102|79|81|102|0|0|0|"25942804"|"16527873"
"Umbric epipedon"||5|||23||18|18|38|"25942620"|"16527791"
"Cambic horizon"||23|||64||30|41|66|"25942620"|"16527792"
"Paralithic contact"||79|||152|||||"25942620"|"16527793"
"Umbric epipedon"||3|||28||18|25|51|"25942621"|"16527794"
"Cambic horizon"||28|||71|||43||"25942621"|"16527795"
"Paralithic contact"|102|150|153||183|||||"25942621"|"16527796"
"Umbric epipedon"||5|||23||18|18|38|"25942617"|"16527797"
"Cambic horizon"||23|||64||30|41|66|"25942617"|"16527798"
"Paralithic contact"||79|||152|||||"25942617"|"16527799"
"Umbric epipedon"||3|||28||18|25|51|"25942618"|"16527800"
"Cambic horizon"||28|||71|||43||"25942618"|"16527801"
"Paralithic contact"|102|150|153||183|||||"25942618"|"16527802"
"Umbric epipedon"||3|||28||18|25|51|"25942614"|"16527803"
"Cambic horizon"||28|||71|||43||"25942614"|"16527804"
"Paralithic contact"|102|150|153||183|||||"25942614"|"16527805"
"Umbric epipedon"||5|||23||18|18|38|"25942615"|"16527806"
"Cambic horizon"||23|||64||30|41|66|"25942615"|"16527807"
"Paralithic contact"||79|||152|||||"25942615"|"16527808"
"Umbric epipedon"||3|||28||18|25|51|"25942776"|"16527809"
"Cambic horizon"||28|||71|||43||"25942776"|"16527810"
"Paralithic contact"|102|150|153||183|||||"25942776"|"16527811"
"Umbric epipedon"||5|||23||18|18|38|"25942777"|"16527812"
"Cambic horizon"||23|||64||30|41|66|"25942777"|"16527813"
"Paralithic contact"||79|||152|||||"25942777"|"16527814"
"Paralithic contact"|52|86|102|52|86|102|0|0|0|"25942811"|"16527880"
"Ochric epipedon"|2|3|4|5|8|24|3|5|20|"25942811"|"16527881"
"Cambic horizon"|5|8|24|61|66|93|56|58|69|"25942811"|"16527882"
"Paralithic contact"|102|122|152|102|122|152|0|0|0|"25942812"|"16527883"
"Ochric epipedon"|2|3|4|5|8|23|3|5|19|"25942812"|"16527884"
"Cambic horizon"|5|8|23|68|86|102|63|78|79|"25942812"|"16527885"
"Ochric epipedon"|2|3|4|5|8|24||5||"25942809"|"16527886"
"Paralithic contact"|52|86|102|52|86|102|0|0|0|"25942809"|"16527887"
"Cambic horizon"|5|8|24|61|66|93||58||"25942809"|"16527888"
"Ochric epipedon"|2|3|4|5|8|23||5||"25942810"|"16527889"
"Cambic horizon"|5|8|23|68|86|102||78||"25942810"|"16527890"
"Paralithic contact"|102|122|152|102|122|152|0|0|0|"25942810"|"16527891"
"Paralithic contact"|52|86|102|52|86|102|0|0|0|"25942807"|"16527892"
"Ochric epipedon"|2|3|4|5|8|24|3|5|20|"25942807"|"16527893"
"Cambic horizon"|5|8|24|61|66|93|56|58|69|"25942807"|"16527894"
"Ochric epipedon"|2|3|4|5|8|23|3|5|19|"25942808"|"16527895"
"Cambic horizon"|5|8|23|68|86|102|63|78|79|"25942808"|"16527896"
"Paralithic contact"|102|122|152|102|122|152|0|0|0|"25942808"|"16527897"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"25942819"|"16527916"
"Argillic horizon"|13|18|28|51|117|130|38|99|102|"25942819"|"16527917"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"25942818"|"16527912"
"Argillic horizon"|13|18|28|51|117|130|38|99|102|"25942818"|"16527913"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"25942817"|"16527908"
"Argillic horizon"|13|18|28|51|117|130|38|99|102|"25942817"|"16527909"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"25942816"|"16527914"
"Argillic horizon"|13|18|28|51|117|130|38|99|102|"25942816"|"16527915"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"25942815"|"16527910"
"Argillic horizon"|13|18|28|51|117|130|38|99|102|"25942815"|"16527911"
