"Mountainbase"|"Base Slope"|||"41619278"|"16469253"
"Mountainflank"|"Side Slope"|||"41618669"|"16469024"
"Mountainflank"|"Head Slope"|||"41618669"|"16469023"
||||"41618934"|"16469166"
"Free face"||||"41618577"|"16468973"
"Upper third of mountainflank"|"Side Slope"|||"41619301"|"16469271"
"Upper third of mountainflank"||||"41619268"|"16469248"
||||"41619037"|"16469185"
||||"41619046"|"16469189"
"Mountainflank"|"Side Slope"|||"41619338"|"16469310"
"Mountaintop"|"Crest"|||"41619290"|"16469260"
"Mountainbase"|"Base Slope"|||"41618768"|"16469071"
|"Base Slope"|||"41618913"|"16469155"
||||"41618658"|"16469013"
||||"41618974"|"16469173"
||||"41618932"|"16469164"
"Mountaintop"|"Crest"|||"41619335"|"16469307"
||||"41618632"|"16468996"
||||"41619163"|"16469221"
"Mountaintop"|"Crest"|||"41618610"|"16468985"
||||"41619174"|"16469226"
||||"41619048"|"16469191"
||||"41618636"|"16469000"
"Mountainflank"|"Side Slope"|||"41619289"|"16469259"
"Mountainbase"|"Base Slope"|||"41618805"|"16469094"
||||"41619164"|"16469222"
"Mountainbase"||||"41618736"|"16469047"
"Mountainflank"|"Side Slope"|||"41619346"|"16469318"
||||"41618747"|"16469056"
||"Tread"||"41618757"|"16469064"
"Mountainbase"|"Base Slope"|||"41619353"|"16469325"
||||"41618617"|"16468987"
||"Tread"||"41619237"|"16469233"
||||"41618562"|"16468960"
||||"41618654"|"16469009"
||||"41618794"|"16469087"
"Upper third of mountainflank"|"Side Slope"|||"41619311"|"16469281"
||||"41619068"|"16469200"
"Mountainflank"|"Head Slope"|||"41618551"|"16468953"
"Mountainbase"|"Base Slope"|||"41619357"|"16469329"
||||"41618746"|"16469055"
||||"41618643"|"16469004"
"Mountaintop"|"Crest"|||"41619310"|"16469280"
"Mountaintop"||||"41619321"|"16469291"
"Upper third of mountainflank"|"Side Slope"|||"41618688"|"16469029"
||||"41618783"|"16469080"
"Mountaintop"|"Crest"|||"41619300"|"16469270"
||||"41618965"|"16469170"
"Upper third of mountainflank"|"Side Slope"|||"41618625"|"16468992"
"Upper third of mountainflank"|"Side Slope"|||"41619331"|"16469302"
"Mountaintop"|"Crest"|||"41619331"|"16469301"
||||"41618987"|"16469174"
||||"41619081"|"16469205"
"Free face"||||"41618680"|"16469027"
||||"41618820"|"16469108"
"Mountaintop"||||"41618883"|"16469145"
||||"41619057"|"16469194"
||||"41618784"|"16469081"
"Mountainbase"||"Tread"||"41618857"|"16469131"
||||"41619235"|"16469231"
"Mountaintop"|"Crest"|||"41618603"|"16468983"
|"Interfluve"|||"41619320"|"16469290"
||||"41618821"|"16469109"
"Mountaintop"|"Crest"|||"41618581"|"16468975"
||||"41618779"|"16469076"
"Upper third of mountainflank"|"Side Slope"|||"41618709"|"16469037"
"Upper third of mountainflank"|"Side Slope"|||"41618560"|"16468959"
|"Side Slope"|||"41618801"|"16469093"
||||"41619077"|"16469203"
||||"41619165"|"16469223"
||||"41618834"|"16469118"
"Mountainflank"|"Side Slope"|||"41619342"|"16469314"
||||"41618727"|"16469043"
||||"41618665"|"16469020"
||||"41618812"|"16469099"
||||"41618823"|"16469111"
||||"41618810"|"16469097"
"Mountaintop"|"Crest"|||"41619298"|"16469268"
"Mountainbase"|"Base Slope"|||"41619352"|"16469324"
"Mountaintop"|"Crest"|||"41619294"|"16469264"
"Upper third of mountainflank"|"Side Slope"|||"41618593"|"16468980"
||||"41618782"|"16469079"
||||"41619272"|"16469250"
||||"41618915"|"16469157"
||||"41618571"|"16468969"
|"Base Slope"|||"41618914"|"16469156"
||||"41618988"|"16469175"
||||"41619261"|"16469241"
||||"41619061"|"16469195"
"Mountainbase"||||"41618751"|"16469059"
"Mountainflank"|"Side Slope"|||"41618666"|"16469022"
"Mountainflank"|"Head Slope"|||"41618666"|"16469021"
||||"41618856"|"16469130"
||||"41618936"|"16469168"
||||"41618740"|"16469049"
"Mountainbase"||||"41618910"|"16469153"
||||"41618634"|"16468998"
"Upper third of mountainflank"|"Side Slope"|||"41619309"|"16469279"
||||"41619154"|"16469217"
||||"41618814"|"16469101"
||"Tread"||"41618676"|"16469026"
||"Riser"||"41618762"|"16469067"
||"Tread"||"41619228"|"16469227"
||||"41618655"|"16469010"
||||"41619246"|"16469234"
"Upper third of mountainflank"||||"41618845"|"16469125"
"Mountainflank"|"Side Slope"|||"41619291"|"16469261"
||||"41618633"|"16468997"
|"Base Slope"|||"41618760"|"16469065"
||||"41619084"|"16469207"
||||"41618992"|"16469179"
||||"41619265"|"16469245"
"Mountainbase"||||"41618749"|"16469058"
||||"41618657"|"16469012"
"Mountaintop"|"Crest"|||"41619302"|"16469272"
|"Interfluve"|||"41619330"|"16469300"
||||"41619161"|"16469219"
||||"41618792"|"16469085"
||||"41618572"|"16468970"
||||"41618973"|"16469172"
||||"41618570"|"16468968"
||||"41619062"|"16469196"
||||"41619036"|"16469184"
"Mountaintop"||||"41618864"|"16469135"
"Mountaintop"|"Interfluve"|||"41618707"|"16469035"
"Mountaintop"|"Crest"|||"41619341"|"16469313"
"Mountaintop"||||"41619324"|"16469294"
|"Interfluve"|||"41619328"|"16469298"
"Upper third of mountainflank"|"Side Slope"|||"41619332"|"16469304"
"Mountaintop"|"Crest"|||"41619332"|"16469303"
"Mountaintop"|"Interfluve"|||"41618708"|"16469036"
||||"41618563"|"16468961"
|"Interfluve"|||"41619323"|"16469293"
||||"41618966"|"16469171"
||||"41618781"|"16469078"
||||"41619047"|"16469190"
"Mountainflank"|"Side Slope"|||"41619287"|"16469257"
||||"41618907"|"16469152"
||||"41619146"|"16469214"
||||"41618780"|"16469077"
||||"41618929"|"16469161"
"Mountainbase"|"Base Slope"|||"41619354"|"16469326"
"Mountaintop"|"Crest"|||"41618896"|"16469150"
"Mountaintop"|"Crest"|||"41619343"|"16469315"
"Mountaintop"|"Crest"|||"41618583"|"16468976"
||||"41618635"|"16468999"
"Upper third of mountainflank"|"Side Slope"|||"41619313"|"16469283"
||||"41618664"|"16469019"
||||"41618854"|"16469128"
||||"41618991"|"16469178"
||||"41618663"|"16469018"
"Mountainflank"|"Side Slope"|||"41619295"|"16469265"
"Mountainbase"|"Base Slope"|||"41619355"|"16469327"
"Upper third of mountainflank"|"Side Slope"|||"41619297"|"16469267"
||||"41618652"|"16469007"
||||"41619273"|"16469251"
"Upper third of mountainflank"||||"41618870"|"16469138"
||||"41618785"|"16469082"
||||"41618822"|"16469110"
"Mountainbase"|"Base Slope"|||"41618737"|"16469048"
||||"41618616"|"16468986"
||||"41618748"|"16469057"
"Mountaintop"|"Crest"|||"41619306"|"16469276"
||||"41619075"|"16469201"
||||"41619054"|"16469193"
|"Side Slope"|||"41618800"|"16469092"
||||"41618653"|"16469008"
||||"41619053"|"16469192"
||||"41618811"|"16469098"
||||"41618641"|"16469002"
"Upper third of mountainflank"|"Side Slope"|||"41618627"|"16468993"
||||"41619286"|"16469256"
|"Base Slope"|||"41618756"|"16469063"
"Mountaintop"||||"41618881"|"16469143"
||||"41618631"|"16468995"
"Mountainflank"|"Side Slope"|||"41618885"|"16469146"
"Mountainbase"|"Base Slope"|||"41618704"|"16469034"
||||"41619262"|"16469242"
||||"41618855"|"16469129"
"Mountainbase"||"Tread"||"41618557"|"16468957"
||||"41618568"|"16468966"
||||"41619043"|"16469186"
||||"41618752"|"16469060"
"Mountainflank"|"Side Slope"|||"41619293"|"16469263"
"Free face"||||"41618682"|"16469028"
||||"41618642"|"16469003"
"Mountaintop"|"Crest"|||"41618579"|"16468974"
"Mountaintop"|"Crest"|||"41618600"|"16468982"
"Mountaintop"|"Crest"|||"41619304"|"16469274"
||||"41619085"|"16469208"
"Mountaintop"||||"41618866"|"16469136"
||||"41619264"|"16469244"
||||"41618837"|"16469120"
||||"41619168"|"16469224"
||||"41618741"|"16469050"
"Upper third of mountainflank"|"Side Slope"|||"41618589"|"16468979"
"Mountaintop"||||"41619317"|"16469287"
"Mountaintop"|"Crest"|||"41618874"|"16469140"
||||"41619064"|"16469198"
||||"41618937"|"16469169"
||||"41618778"|"16469075"
"Mountainbase"|"Base Slope"|||"41619351"|"16469323"
"Mountainflank"|"Side Slope"|||"41619326"|"16469296"
|"Interfluve"|||"41619325"|"16469295"
"Upper third of mountainflank"|"Side Slope"|||"41618623"|"16468991"
||||"41618826"|"16469113"
"Mountainbase"|"Base Slope"|||"41619359"|"16469331"
||||"41618830"|"16469117"
||||"41618645"|"16469005"
"Mountaintop"|"Crest"|||"41619333"|"16469305"
||||"41619002"|"16469182"
"Mountaintop"|"Crest"|||"41618877"|"16469141"
"Mountaintop"||||"41619327"|"16469297"
||||"41618841"|"16469124"
"Mountainflank"||||"41618863"|"16469134"
"Mountainflank"|"Side Slope"|||"41619340"|"16469312"
||||"41618726"|"16469042"
||||"41618840"|"16469123"
"Upper third of mountainflank"|"Side Slope"|||"41619315"|"16469285"
||||"41618793"|"16469086"
"Free face"||||"41619231"|"16469228"
"Mountainflank"|"Side Slope"|||"41618889"|"16469147"
"Upper third of mountainflank"|"Side Slope"|||"41619305"|"16469275"
||||"41619063"|"16469197"
||||"41619274"|"16469252"
||||"41618906"|"16469151"
"Free face"||||"41618575"|"16468972"
||||"41619147"|"16469215"
||||"41618928"|"16469160"
||||"41618836"|"16469119"
||||"41619138"|"16469213"
"Mountaintop"|"Crest"|||"41619316"|"16469286"
||||"41618700"|"16469032"
"Mountainflank"|"Side Slope"|||"41618815"|"16469102"
||||"41618989"|"16469176"
"Upper third of mountainflank"|"Side Slope"|||"41618619"|"16468989"
||||"41619137"|"16469212"
"Mountainflank"||||"41618862"|"16469133"
||||"41618656"|"16469011"
||||"41618564"|"16468962"
||||"41619076"|"16469202"
||||"41619263"|"16469243"
"Upper third of mountainflank"|"Side Slope"|||"41618711"|"16469038"
||||"41618825"|"16469112"
"Mountainflank"|"Side Slope"|||"41619344"|"16469316"
||||"41618930"|"16469162"
||||"41619044"|"16469187"
||||"41618917"|"16469159"
