0|0|0|107|130|152|"Moist"|"271188541"|"172895552"
107|130|152|203|203|203|"Wet"|"271188541"|"172895553"
0|0|0|46|54|61|"Moist"|"271188143"|"172895398"
46|54|61|203|203|203|"Wet"|"271188143"|"172895399"
0|0|0|0|15|30|"Moist"|"271186774"|"172894988"
0|15|30|203|203|203|"Wet"|"271186774"|"172894989"
0|0|0|61|84|107|"Moist"|"271189169"|"172895632"
61|84|107|203|203|203|"Wet"|"271189169"|"172895633"
0|0|0|61|76|91|"Moist"|"271189195"|"172895684"
61|76|91|203|203|203|"Wet"|"271189195"|"172895685"
0|0|0|46|54|61|"Moist"|"271188070"|"172895300"
46|54|61|203|203|203|"Wet"|"271188070"|"172895301"
0|15|30|15|30|46|"Moist"|"271186641"|"172894878"
15|31|46|203|203|203|"Wet"|"271186641"|"172894879"
0|0|0|203|203|203|"Wet"|"271188156"|"172895423"
0|0|0|107|145|183|"Moist"|"271187027"|"172895086"
107|145|183|203|203|203|"Wet"|"271187027"|"172895087"
0|0|0|61|84|107|"Moist"|"271189531"|"172895780"
61|84|107|203|203|203|"Wet"|"271189531"|"172895781"
0|0|0|46|54|61|"Moist"|"271188059"|"172895278"
46|54|61|203|203|203|"Wet"|"271188059"|"172895279"
0|0|0|107|145|183|"Moist"|"271189095"|"172895580"
107|145|183|203|203|203|"Wet"|"271189095"|"172895581"
0|0|0|0|15|30|"Moist"|"271186800"|"172895040"
0|15|30|203|203|203|"Wet"|"271186800"|"172895041"
0|0|0|61|76|91|"Moist"|"271188132"|"172895376"
61|76|91|203|203|203|"Wet"|"271188132"|"172895377"
0|0|0|107|145|183|"Moist"|"271189091"|"172895572"
107|145|183|203|203|203|"Wet"|"271189091"|"172895573"
0|0|0|15|30|46|"Moist"|"271186756"|"172894952"
15|30|46|203|203|203|"Wet"|"271186756"|"172894953"
0|15|30|15|30|46|"Moist"|"271186642"|"172894880"
15|31|46|203|203|203|"Wet"|"271186642"|"172894881"
0|15|30|15|30|46|"Moist"|"271188278"|"172895470"
15|31|46|203|203|203|"Wet"|"271188278"|"172895471"
0|0|0|15|30|40||"271188471"|"172895508"
15|30|40|200|200|200|"Wet"|"271188471"|"172895509"
0|0|0|0|15|30|"Moist"|"271186767"|"172894974"
0|15|30|203|203|203|"Wet"|"271186767"|"172894975"
