"C"||"C"||||64|||76|||||0|0|1|0|4|9|80|87|97|56|75|97|41|58|80|19|30|43||66.9|||4.7|||13.6|||16.7|||20.1|||11.8|||23.1||||||||5|10|15||||0|0.25|0.5||||1.45|1.55|1.65|||||1.64|||14|28|42|0.08|0.1|0.12||||7.4|13.4|19.6|2.1|5.6|10.3|22|32|42|0|1.5|2.9|16|22|27|2|6|10|0|0|1|".24"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|3.1|4.9|0.9|2.3|3.7||||3.5|4.8|6||||||||||3.6|7.5|11.6|||||||||||||||||||||"25942663"|"77518600"
"R"||"R"||||76|||203|||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.03|0.07|0|0|0|||||||||||||||||||||||0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Extremely high"||"25942663"|"77518601"
"R"||"R"||||0|||203|||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.035|0.07|0|0|0.01|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Extremely high"|"Very dry"|"25942664"|"77518602"
"A"||"A"||||0|||13|||||0|0|0|0|0|4|82|91|100|63|82|100|44|63|84|20|32|46||67.4|||4.4|||14.4|||17.9|||20|||10.7|||19.6||||||||6|13|20||||2|4|6||||1.2|1.35|1.5|||||1.42|||14|28|42|0.08|0.1|0.12||||11.7|19.5|26.1|4.5|11.2|18.8|29|40|50|0|1.5|2.9|21|32|43|3|8|13|0|0|3|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|6|12.2|18.5|4.5|9.2|13.9||||4.5|5.3|6||||||||||8.8|16.3|24.1|||||||||||||||||||||"25942665"|"77518603"
"Bw"||"B"||||13|||36|||||0|0|0|0|0|4|82|91|100|63|82|100|44|63|84|20|32|46||67.4|||4.4|||14.4|||17.9|||20|||10.7|||19.6||||||||6|13|20||||0|0.5|1||||1.2|1.35|1.5|||||1.42|||14|28|42|0.08|0.1|0.12||||9|16|21.8|2.6|7.2|12.6|31|42|52|0|1.5|2.9|17|25|33|3|8|13|0|0|2|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|1.5|4.4|7.2|1.1|3.3|5.4||||4.5|5.3|6||||||||||3.8|7.6|11.6|||||||||||||||||||||"25942665"|"77518604"
"R"||"R"||||36|||203|||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.03|0.07|0|0|0.01|||||||||||||||||||||||0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Extremely high"||"25942665"|"77518605"
"A"||"A"||||0|||13|||||0|3|3|0|1|4|81|91|100|63|82|100|44|63|84|20|32|46||67.4|||4.4|||14.4|||17.9|||20|||10.7|||19.6||||||||6|13|20||||2|4|6||||1.2|1.35|1.5|||||1.42|||14|28|42|0.08|0.1|0.12||||11.4|18.9|26.1|4.4|10.9|18.8|28|38|50|0|1.5|2.9|21|32|43|3|8|13|0|0|3|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|6|12.2|18.5|4.5|9.2|13.9||||4.5|5.3|6||||||||||8.8|16.3|24.1|||||||||||||||||||||"25942666"|"77518607"
"Bw"||"B"||||13|||36|||||0|0|0|0|0|4|82|91|100|63|82|100|44|63|84|20|32|46||67.4|||4.4|||14.4|||17.9|||20|||10.7|||19.6||||||||6|13|20||||0|0.5|1||||1.2|1.35|1.5|||||1.42|||14|28|42|0.08|0.1|0.12||||9|16|21.8|2.6|7.2|12.6|31|42|52|0|1.5|2.9|17|25|33|3|8|13|0|0|2|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|1.5|4.4|7.2|1.1|3.3|5.4||||4.5|5.3|6||||||||||3.8|7.6|11.6|||||||||||||||||||||"25942666"|"77518608"
"R"||"R"||||36|||203|||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.03|0.07|0|0|0.01|||||||||||||||||||||||0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Extremely high"||"25942666"|"77518606"
"Bw"||"B"||||13|||64|||||0|0|1|0|0|4|87|93|100|69|83|100|47|65|81|22|35|44||64.4|||4.2|||13.8|||17.1|||19.1|||10.2|||18.6||||||||7|17|20||||0|0.5|1||||1.35|1.48|1.6|||||1.56|||14|28|42|0.1|0.12|0.14||||10.4|18.6|22.7|3.4|10.1|13.8|29|37|46|0|1.5|2.9|18|25|33|3|8|13|0|1|7|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|1.8|5.4|7.2|1.3|4|5.4||||3.5|4.8|6||||||||||4|9.2|13.6|||||||||||||||||||||"25942667"|"77518609"
"C"||"C"||||64|||76|||||0|0|1|0|4|9|80|87|97|56|75|97|41|58|80|19|30|43||66.9|||4.7|||13.6|||16.7|||20.1|||11.8|||23.1||||||||5|10|15||||0|0.25|0.5||||1.45|1.55|1.65|||||1.64|||14|28|42|0.08|0.1|0.12||||7.4|13.4|19.6|2.1|5.6|10.3|22|32|42|0|1.5|2.9|16|22|27|2|6|10|0|0|1|".24"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|3.1|4.9|0.9|2.3|3.7||||3.5|4.8|6||||||||||3.6|7.5|11.6|||||||||||||||||||||"25942667"|"77518610"
"A"||"A"||||0|||13|||||0|3|3|0|3|4|90|95|100|76|88|100|54|67|83|25|34|45||67|||4.4|||14.3|||17.8|||19.9|||10.6|||19.5||||||||7|13.5|20||||2|4|6||||1.35|1.48|1.6|||||1.55|||14|28|42|0.13|0.16|0.18||||13.7|20.3|27.2|5.9|12.4|20.6|28|35|44|0|1.5|2.9|22|33|43|3|8|13|0|0|3|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0|0|6.2|12.4|18.5|4.7|9.3|13.9||||3.5|4.8|6||||||||||9|17.5|26.1|||||||||||||||||||||"25942667"|"77518612"
"R"||"R"||||76|||203|||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.03|0.07|0|0|0|||||||||||||||||||||||0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Extremely high"||"25942667"|"77518611"
"R"||"R"||||0|||203|||||||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0|0.035|0.07|0|0|0.01|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"Extremely high"|"Very dry"|"25942668"|"77518613"
"A"||"A"||||0|||28|||||6|6|16|24|34|34|67|88|92|38|81|92|31|71|86|21|51|64||43.8|||4.3|||5.9|||7.8|||13.5|||12.3|||40.2||||||||10|16|22||||10|15|20||||0.5|0.75|1||||0.54|0.79|1.04||14|28|42|0.2|0.23|0.25||||12.2|23.1|28.5|4.8|11.8|17.4|22|44|57|0|1.5|2.9|42|59|75|5|10|14|0|1|12|".10"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|25|37.8|50.5|18.8|28.3|37.9||||3.5|4.8|6||||||||||29.4|45.3|61.4|||||||||||||||||||||"25942669"|"77518615"
"C"||"C"||||107|||203|||||5|5|24|15|42|42|52|89|98|8|81|98|6|62|81|3|31|44||68|||5|||13.9|||16.9|||20.3|||11.9|||23.5||||||||2|8.5|15||||0|0.25|0.5||||1.2|1.4|1.6||||1.31|1.51|1.62||14|28|42|0.04|0.07|0.09||||0|8.7|16.7|0|3.1|8.2|0|26|45|0|1.5|2.9|0|20|27|0|5|10|0|0|1|".10"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|2.7|4.9|0.4|2|3.7||||3.5|4.8|6||||||||||3.2|7.3|11.6|||||||||||||||||||"Very high"||"25942669"|"77518614"
"BA"||"BA"||||28|||51|||||5|5|24|17|43|43|51|83|97|10|72|97|9|67|97|4|30|47||66.9|||0|||2.4|||14.4|||33.5|||16.6|||14.1||||||||15|19|25||||4|7|10||||1|1.25|1.5||||1.1|1.35|1.6||14|28|42|0.06|0.08|0.1||||1.6|14.6|25.9|0.9|10.5|21.9|3|26|49|0|1.5|2.9|24|31|37|9|13|17|0|0|5|".05"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|12.8|20.5|28.8|9.6|15.4|21.6||||3.5|4.8|6||||||||||15.2|25.8|36.9|||||||||||||||||||"Very high"||"25942669"|"77518616"
"Bw"||"B"||||51|||107|||||5|9|24|17|42|42|51|79|97|10|70|97|8|62|91|6|45|67||43.3|||4.2|||5.8|||7.7|||13.4|||12.2|||39.7||||||||12|17|22||||0|0.5|1||||1|1.25|1.5||||1.11|1.36|1.61||14|28|42|0.06|0.08|0.1||||1.5|13.2|24|0.4|4.8|10.6|3|26|51|0|1.5|2.9|22|28|34|7|11|15|0|0|8|".10"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|3|5.4|7.8|2.2|4|5.8||||3.5|4.8|6||||||||||4.7|9.2|14|||||||||||||||||||"Very high"||"25942669"|"77518617"
"A"||"A"||||0|||38|||||0|3|10|0|3|5|88|94|100|65|81|100|53|71|94|37|51|69||43.8|||4.3|||5.9|||7.8|||13.5|||12.3|||40.2||||||||10|16|22||||10|15|20||||1.1|1.2|1.3||||1.16|1.26|1.32||14|28|42|0.16|0.19|0.22||||22.7|30.8|39.1|12.1|21.3|32.4|29|38|48|0|1.5|2.9|42|59|75|5|10|14|0|4|14|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|25|37.8|50.5|18.8|28.3|37.9||||3.5|4.5|5.5||||||||||30.5|45.9|61.4|||||||||||||||||||||"25942670"|"77518618"
"Bw"||"B"||||38|||71|||||0|3|8|0|0|9|75|90|100|50|81|100|34|62|84|15|31|46||66.8|||4.1|||14.6|||18.5|||19.8|||9.8|||15.2||||||||10|18|25||||0|0.5|1||||1.35|1.48|1.6||||1.43|1.56|1.63||14|28|42|0.12|0.15|0.18||||9|18.4|24.9|3.5|10.3|16.9|21|36|46|0|1.5|2.9|20|29|37|6|12|17|0|0|4|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|2.5|5.6|8.5|1.9|4.2|6.4||||3.5|4.5|5.5||||||||||5.5|10|14.4|||||||||||||||||||||"25942670"|"77518619"
"BC"||"BC"||||71|||203|||||0|3|7|0|7|12|73|85|100|37|65|100|25|49|84|11|25|46||67.9|||4.5|||14.5|||18|||20.2|||10.7|||19.6||||||||5|12.5|20||||0|0.25|0.5||||1.35|1.48|1.6||||1.44|1.57|1.67||14|28|42|0.1|0.13|0.16||||5.1|12.9|22.2|1.4|5.8|13.1|16|30|46|0|1.5|2.9|16|24|32|2|8|13|0|0|2|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|3.7|6.1|0.9|2.8|4.6||||3.5|5|5.5||||||||||4.6|7.5|12.4|||||||||||||||||||||"25942670"|"77518620"
"A"||"A"||||0|||28|||||6|6|16|24|34|34|67|88|92|38|81|92|31|71|86|21|51|64||43.8|||4.3|||5.9|||7.8|||13.5|||12.3|||40.2||||||||10|16|22||||10|15|20||||0.5|0.75|1||||0.54|0.79|1.04||14|28|42|0.2|0.23|0.25||||12.2|23.1|28.5|4.8|11.8|17.4|22|44|57|0|1.5|2.9|42|59|75|5|10|14|0|1|12|".10"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|25|37.8|50.5|18.8|28.3|37.9||||3.5|4.8|6||||||||||29.4|45.3|61.4|||||||||||||||||||||"25942671"|"77518624"
"BA"||"BA"||||28|||51|||||5|5|24|17|43|43|51|83|97|10|72|97|9|67|97|4|30|47||66.9|||0|||2.4|||14.4|||33.5|||16.6|||14.1||||||||15|19|25||||4|7|10||||1|1.25|1.5||||1.1|1.35|1.6||14|28|42|0.06|0.08|0.1||||1.6|14.6|25.9|0.9|10.5|21.9|3|26|49|0|1.5|2.9|24|31|37|9|13|17|0|0|5|".05"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|12.8|20.5|28.8|9.6|15.4|21.6||||3.5|4.8|6||||||||||15.2|25.8|36.9|||||||||||||||||||"Very high"||"25942671"|"77518621"
"Bw"||"B"||||51|||107|||||5|9|24|17|42|42|51|79|97|10|70|97|8|62|91|6|45|67||43.3|||4.2|||5.8|||7.7|||13.4|||12.2|||39.7||||||||12|17|22||||0|0.5|1||||1|1.25|1.5||||1.11|1.36|1.61||14|28|42|0.06|0.08|0.1||||1.5|13.2|24|0.4|4.8|10.6|3|26|51|0|1.5|2.9|22|28|34|7|11|15|0|0|8|".10"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|3|5.4|7.8|2.2|4|5.8||||3.5|4.8|6||||||||||4.7|9.2|14|||||||||||||||||||"Very high"||"25942671"|"77518622"
