"not used"|"26786186"|"18873281"
"not used"|"26786187"|"18873282"
"not used"|"26786259"|"18873329"
"not used"|"26786261"|"18873330"
"not used"|"26786262"|"18873331"
"not used"|"26786263"|"18873332"
"not used"|"26786189"|"18873283"
"not used"|"26786190"|"18873284"
"not used"|"26786265"|"18873333"
"not used"|"26786266"|"18873334"
"not used"|"26786267"|"18873335"
"not used"|"26786268"|"18873336"
"not used"|"26786269"|"18873337"
"not used"|"26786270"|"18873338"
"not used"|"26786192"|"18873285"
"not used"|"26786193"|"18873286"
"not used"|"26786194"|"18873287"
"not used"|"26786195"|"18873288"
"not used"|"26786196"|"18873289"
"not used"|"26786198"|"18873290"
"not used"|"26786199"|"18873291"
"not used"|"26786200"|"18873292"
"not used"|"26786201"|"18873293"
"not used"|"26786402"|"18873446"
"not used"|"26786403"|"18873447"
"not used"|"26786404"|"18873448"
"not used"|"26786405"|"18873449"
"not used"|"26786271"|"18873339"
"not used"|"26786411"|"18873450"
"not used"|"26786412"|"18873451"
"not used"|"26786415"|"18873452"
"not used"|"26786416"|"18873453"
"not used"|"26786418"|"18873454"
"not used"|"26786419"|"18873455"
"not used"|"26786273"|"18873340"
"not used"|"26786274"|"18873341"
"shallow"|"26786202"|"18873294"
"not used"|"26786203"|"18873295"
"shallow"|"26786205"|"18873296"
"not used"|"26786206"|"18873297"
"not used"|"26786208"|"18873298"
"not used"|"26786209"|"18873299"
"not used"|"26786210"|"18873300"
"not used"|"26786211"|"18873301"
"not used"|"26786212"|"18873302"
"not used"|"26786213"|"18873303"
"not used"|"26786277"|"18873343"
"not used"|"26786214"|"18873304"
"not used"|"26786278"|"18873344"
"not used"|"26786276"|"18873342"
"not used"|"26786279"|"18873345"
"not used"|"26786421"|"18873456"
"not used"|"26786422"|"18873457"
"not used"|"26786282"|"18873347"
"not used"|"26786423"|"18873458"
"not used"|"26786280"|"18873346"
"not used"|"26786426"|"18873459"
"not used"|"26786427"|"18873460"
"not used"|"26786216"|"18873305"
"not used"|"26786217"|"18873306"
"not used"|"26786284"|"18873348"
"not used"|"26786285"|"18873349"
"not used"|"26786286"|"18873350"
"not used"|"26786288"|"18873351"
"not used"|"26786289"|"18873352"
"not used"|"26786290"|"18873353"
"not used"|"26786291"|"18873354"
"not used"|"26786292"|"18873355"
"not used"|"26786293"|"18873356"
"not used"|"26786294"|"18873357"
"not used"|"26786218"|"18873307"
"not used"|"26786219"|"18873308"
"not used"|"26786516"|"18873523"
"not used"|"26786517"|"18873524"
"not used"|"26786518"|"18873525"
"not used"|"26786519"|"18873526"
"not used"|"26786520"|"18873527"
"not used"|"26786509"|"18873519"
"not used"|"26786510"|"18873520"
"not used"|"26786511"|"18873521"
"not used"|"26786514"|"18873522"
"not used"|"26786500"|"18873512"
"not used"|"26786501"|"18873513"
"not used"|"26786502"|"18873514"
"not used"|"26786503"|"18873515"
"not used"|"26786504"|"18873516"
"not used"|"26786505"|"18873517"
"not used"|"26786506"|"18873518"
"not used"|"26786521"|"18873528"
"not used"|"26786522"|"18873529"
"not used"|"26786523"|"18873530"
"not used"|"26786525"|"18873531"
"not used"|"26786526"|"18873532"
"not used"|"26786527"|"18873533"
"not used"|"26786528"|"18873534"
"not used"|"26786529"|"18873535"
"not used"|"26786530"|"18873536"
"not used"|"26786531"|"18873537"
"not used"|"26786532"|"18873538"
"not used"|"26786533"|"18873539"
"not used"|"26786534"|"18873540"
"not used"|"26786535"|"18873541"
"not used"|"26786536"|"18873542"
"not used"|"26786538"|"18873543"
"not used"|"26786595"|"18873588"
"not used"|"26786596"|"18873589"
"not used"|"26786597"|"18873590"
"not used"|"26786539"|"18873544"
"not used"|"26786540"|"18873545"
"not used"|"26786542"|"18873546"
"not used"|"26786543"|"18873547"
"not used"|"26786544"|"18873548"
"not used"|"26786545"|"18873549"
"not used"|"26786589"|"18873583"
"not used"|"26786590"|"18873584"
"not used"|"26786591"|"18873585"
"not used"|"26786592"|"18873586"
"not used"|"26786593"|"18873587"
"not used"|"26786296"|"18873358"
"not used"|"26786298"|"18873359"
"not used"|"26786299"|"18873360"
"not used"|"26786430"|"18873461"
"not used"|"26786431"|"18873462"
"not used"|"26786433"|"18873463"
"not used"|"26786434"|"18873464"
"not used"|"26786220"|"18873309"
"not used"|"26786223"|"18873310"
"not used"|"26786301"|"18873361"
"not used"|"26786225"|"18873311"
"not used"|"26786228"|"18873312"
"not used"|"26786231"|"18873313"
"not used"|"26786302"|"18873362"
"not used"|"26786303"|"18873363"
"not used"|"26786304"|"18873364"
"not used"|"26786305"|"18873365"
"not used"|"26786306"|"18873366"
"not used"|"26786307"|"18873367"
"not used"|"26786308"|"18873368"
"not used"|"26786309"|"18873369"
"not used"|"26786310"|"18873370"
"not used"|"26786311"|"18873371"
"not used"|"26786312"|"18873372"
"not used"|"26786313"|"18873373"
"not used"|"26786314"|"18873374"
"not used"|"26786562"|"18873562"
"not used"|"26786563"|"18873563"
"not used"|"26786564"|"18873564"
"not used"|"26786565"|"18873565"
"not used"|"26786566"|"18873566"
"not used"|"26786548"|"18873550"
"not used"|"26786549"|"18873551"
"not used"|"26786551"|"18873552"
"not used"|"26786552"|"18873553"
"shallow"|"26786553"|"18873554"
"not used"|"26786554"|"18873555"
"not used"|"26786555"|"18873556"
"not used"|"26786556"|"18873557"
"not used"|"26786558"|"18873558"
"not used"|"26786559"|"18873559"
"shallow"|"26786560"|"18873560"
"not used"|"26786561"|"18873561"
"not used"|"26786435"|"18873465"
"not used"|"26786437"|"18873466"
