X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,Sort_Date,IsLandslide,Avg_Rainfall_30day,Max_Rainfall_30day,Max_Rainfall_3day,R1d,R3d,R7d,R30d,API_14
313309.555299997,200441.144400001,60785.0,4460.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-03-27,,,,Debris,Slide,,,,Road cut,,,,{A30FDFCB-5390-44E6-92FC-4785A355DD51},2007-03-27,1,4.2960333635409675,57.44200134277344,0.0,0.0,0.0,10.460000425577164,128.88100090622902,40.475342595886325
313868.586199999,200308.318599999,58849.0,5646.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-03-27,,,,Weathered rock,Slide - translational,,,,Road cut,,,,{84C3DE73-A8A1-4846-9CBB-654913EE67B4},2007-03-27,1,4.2960333635409675,57.44200134277344,0.0,0.0,0.0,10.460000425577164,128.88100090622902,40.475342595886325
314082.299000002,200487.550999999,60784.0,4459.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-03-27,,,,Weathered rock,Slide,,,,Road cut,,,,{BB6715B4-0153-4B49-B57D-99540F5DE6C4},2007-03-27,1,4.2960333635409675,57.44200134277344,0.0,0.0,0.0,10.460000425577164,128.88100090622902,40.475342595886325
307808.162,204288.059300002,59137.0,4452.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-03-30,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{2AB9FBCD-051F-446D-B0F2-389975834B66},2007-03-30,1,3.7935666580994925,51.9640007019043,2.3369998931884766,2.3369998931884766,2.3369998931884766,2.3369998931884766,113.80699974298477,36.07380067293316
312614.8926,202985.910599999,60776.0,4437.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-04-02,,,,Weathered rock,Slide - rotational,,,,Unmodified,,,,{012E6626-4D7B-4C1D-92E5-66D2BEF294CD},2007-04-02,1,2.0327333390712736,27.60099983215332,1.4520000219345093,0.8799999952316284,2.3320000171661377,4.861999988555908,60.982000172138214,24.32804291091145
312631.341700003,203071.9461,60777.0,4438.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-04-02,,,,Earth,Slide,Extremely rapid (>5 m/sec),Earth,Flow,Unmodified,,,,{2DFE0617-82D2-44B7-A03E-B71C2B8B4106},2007-04-02,1,2.0327333390712736,27.60099983215332,1.4520000219345093,0.8799999952316284,2.3320000171661377,4.861999988555908,60.982000172138214,24.32804291091145
312646.016599998,203049.2621,60775.0,4436.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-04-02,,,,Earth,Slide,Extremely rapid (>5 m/sec),Earth,Flow,Unmodified,,,,{38AFC74E-6180-4879-8150-849617685A66},2007-04-02,1,2.0327333390712736,27.60099983215332,1.4520000219345093,0.8799999952316284,2.3320000171661377,4.861999988555908,60.982000172138214,24.32804291091145
314970.854400001,199930.4067,59134.0,4441.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-03,,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road embankment,,,,{5DC6D38E-C36E-4E4E-AB5A-C12ACC197C75},2007-04-03,1,1.9295333355665207,24.24799919128418,2.9560000896453857,2.9560000896453857,4.171000123023987,7.687000274658203,57.88600006699562,23.380136686075353
314992.579800002,200039.581799999,59133.0,4440.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-03,,,,Earth,Slide - translational,,,,Road cut,,,,{D06E3DF3-FB58-4414-BC60-26FDD6DDB478},2007-04-03,1,1.9295333355665207,24.24799919128418,2.9560000896453857,2.9560000896453857,4.171000123023987,7.687000274658203,57.88600006699562,23.380136686075353
314558.276699997,200877.293299999,59132.0,4439.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-04-03,,,,Earth,Slide,Extremely rapid (>5 m/sec),Earth,Flow,Unmodified,,,,{5F7E40A3-0E99-4372-9B56-C58E7A4600C7},2007-04-03,1,1.9295333355665207,24.24799919128418,2.9560000896453857,2.9560000896453857,4.171000123023987,7.687000274658203,57.88600006699562,23.380136686075353
304750.848899998,202893.7412,60778.0,4453.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-04-03,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{421D3273-E72F-4A9E-974C-0B6D0449ED33},2007-04-03,1,2.1457666429380575,36.97999954223633,1.718999981880188,1.718999981880188,1.7449999824166298,4.39400003105402,64.37299928814173,23.20688102249365
313756.401000001,202217.938099999,60779.0,4454.0,Landslide Hazard Mapping,Buncombe,Black Mountain,2007-04-05,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{C9558477-43A4-43A1-93A2-DA438B67BDE2},2007-04-05,1,2.1101666390895844,25.511999130249023,2.8459999561309814,2.828000068664551,5.674000024795532,10.550000071525574,63.30499917268753,23.872449855606735
321672.850699998,201736.919,60783.0,4458.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-09,,,,Debris,Slide,,,,Road cut,,,,{E17FEB6E-D117-4A9A-BB0D-61024287A860},2007-04-09,1,2.323066686652601,27.128000259399414,5.51800012588501,0.04600000008940697,5.564000125974417,11.45900010690093,69.69200059957802,23.34724313244015
320125.182400003,202365.9692,60782.0,4457.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-09,,,,Debris,Slide,,,,Road embankment,,,,{B7ABF0D9-C74F-4F0D-8CEC-763CDE5799F2},2007-04-09,1,2.4036999553442002,24.847999572753906,9.86299991607666,0.25999999046325684,10.122999906539917,16.108999967575073,72.110998660326,27.207555908789374
319973.415399998,202527.3563,60781.0,4456.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-09,,,,Debris,Slide,,,,Road cut,,,,{6E54B4EA-47C0-4F0B-A7D2-EA2D9E2AB7AD},2007-04-09,1,2.4036999553442002,24.847999572753906,9.86299991607666,0.25999999046325684,10.122999906539917,16.108999967575073,72.110998660326,27.207555908789374
319941.108400002,202538.385899998,60780.0,4455.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-09,,,,Debris,Slide,,,,Road cut,,,,{F002FB32-332D-419D-A2D7-C8183E92E0C2},2007-04-09,1,2.4036999553442002,24.847999572753906,9.86299991607666,0.25999999046325684,10.122999906539917,16.108999967575073,72.110998660326,27.207555908789374
318012.439125623,202369.548917982,60627.0,5643.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,2007-04-09,,,,Debris,Slide,,,,Road embankment,,,,{74D6958B-21CA-4390-944A-3F10D05E1715},2007-04-09,1,2.4036999553442002,24.847999572753906,9.86299991607666,0.25999999046325684,10.122999906539917,16.108999967575073,72.110998660326,27.207555908789374
279592.729900002,202972.804900002,59223.0,4968.0,Landslide Hazard Mapping,Buncombe,Enka,2008-01-30,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{0F45D2C8-AF65-4591-AC3A-998D84D65FDE},2008-01-30,1,1.9357666701078415,17.19700050354004,0.0,0.0,0.0,0.38499999046325684,58.073000103235245,16.195610158580756
277239.877700001,205733.063299999,59258.0,4974.0,Landslide Hazard Mapping,Buncombe,Enka,2008-01-30,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{D8AC76A9-CCA4-4C37-B3E5-B12362D9E1E9},2008-01-30,1,1.8105666467299064,14.656999588012695,0.0,0.0,0.0,0.5619999766349792,54.31699940189719,15.690989885333346
266751.9749,199541.735100001,60879.0,4992.0,Landslide Hazard Mapping,Buncombe,Cruso,2008-02-02,,,,Debris,Slide,,,,Unmodified,,,,{17EA1E45-1635-4F17-9F5B-06841EBE17DC},2008-02-02,1,3.1557667086521786,37.49800109863281,37.49800109863281,37.49800109863281,46.678001403808594,46.678001403808594,94.67300125956535,58.55087204111663
273336.802000001,198733.800299998,60656.0,4983.0,Landslide Hazard Mapping,Buncombe,Dunsmore Mountain,2008-02-05,,,,Debris,Slide,,,,Road embankment,,,,{1DC61862-5554-4928-BDF5-9D0B7066DC43},2008-02-05,1,2.917400026321411,33.86600112915039,4.980999946594238,4.980999946594238,5.4269999563694,45.27600088715553,87.52200078964233,46.566758838563715
