IsLandslide,Sort_Date,X,Y,geometry,Max_Rainfall_30day,Avg_Rainfall_30day,MapMethod,County,GlobalID,SM_Rate_2,Col_Date,Project,Confidence,OBJECTID,Fatalities,Quad,SM_Rate_1,Slp_Config,SM_Type_2,SM_Mat_1,SM_Mat_2,SM_Type_1,SM_State,Mvmnt_Date,Process_ID
1,2004-01-16 00:00:00,294655.5612,217780.137800001,POINT (-82.47938999982618 35.66344000021515),7.988,1.1794333,,Buncombe,{2BCB5512-5D8A-4C7B-B904-F4F889CEBEB3},,2004-01-16,Blue Ridge Parkway,,57869.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide,,,59.0
1,2004-01-16 00:00:00,295489.840499997,218112.369800001,POINT (-82.47030899956991 35.666695999608436),8.144,1.1553333,,Buncombe,{EA43E720-BA53-4CB4-B4C0-99BCEABC43A0},,2004-01-16,Blue Ridge Parkway,,58840.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide - translational,,,2283.0
1,2004-02-04 00:00:00,283597.691299997,199444.660399999,POINT (-82.59411700009878 35.49471900039508),27.816,1.8671,,Buncombe,{1D77DE26-60B4-455B-8FEA-E3841B8D65DD},,2004-02-04,Blue Ridge Parkway,,57870.0,,Skyland,,Road cut,,Rock,,Slide,,,60.0
1,2004-02-04 00:00:00,283644.023100004,199929.314100001,POINT (-82.59379999964014 35.49910000025536),27.816,1.8671,,Buncombe,{B9EC3041-DEA3-48A0-AF71-A98E2998E06E},,2004-02-04,Blue Ridge Parkway,,58944.0,,Skyland,,Road cut,,Debris,,Slide - translational,,,2308.0
1,2004-02-04 00:00:00,283662.6197,200029.215100002,POINT (-82.59363499979773 35.50000600040573),27.816,1.8671,,Buncombe,{419C8400-BB35-42EB-B4B4-5C74A644503D},,2004-02-04,Blue Ridge Parkway,,58943.0,,Skyland,,Road cut,Slide,Rock,Rock,Fall,,,2307.0
1,2004-03-25 00:00:00,293388.061099999,212725.229800001,POINT (-82.49141799994197 35.61750300022639),10.937,1.7727666,,Buncombe,{11E0D52F-1915-46A0-BC96-C338291F6E40},,2004-03-25,Blue Ridge Parkway,,58941.0,,Oteen,,Road cut,,Rock,,Fall,,,2305.0
1,2004-03-26 00:00:00,293205.315099999,213142.061299998,POINT (-82.49359600000001 35.62120000014474),10.937,1.7727666,,Buncombe,{61B2AFFA-38FC-49E0-90B9-1FAF3EC23B7B},,2004-03-26,Blue Ridge Parkway,,58942.0,,Oteen,,Road cut,,Rock,,Slide - translational,,,2306.0
1,2004-05-12 00:00:00,309903.8178,224923.396499999,POINT (-82.31369499973893 35.73249100008648),25.34,3.8108666,,Buncombe,{6F97B6F9-0657-4E45-9D55-259520BB2965},,2004-05-12,Blue Ridge Parkway,,57879.0,,Montreat,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,,69.0
1,2004-06-11 00:00:00,301079.830700003,220594.116999999,POINT (-82.40954100017794 35.69079799958314),24.224,4.3214006,,Buncombe,{17D54D7F-EF2F-4EF6-AA86-F1C46E8E708B},,2004-06-11,Blue Ridge Parkway,,58841.0,,Craggy Pinnacle,,Road cut,,Rock,,Fall,,,2284.0
1,2004-07-09 00:00:00,303784.158799998,221266.664299998,POINT (-82.37993100056424 35.697690000314886),16.085,4.2390003,,Buncombe,{2ECEB9C1-914C-4DD0-A333-BC79CBD5AD11},,2004-07-09,Blue Ridge Parkway,,58842.0,,Craggy Pinnacle,,Road cut,,Rock,,Slide - translational,,,2285.0
1,2004-08-11 00:00:00,288234.731299996,207699.099300001,POINT (-82.54628800018763 35.570579999713324),14.531,1.8985333,,Buncombe,{7F2640DA-5A36-4143-AD91-C75CA35DD365},Extremely rapid (>5 m/sec),2004-08-11,Geohazards,,57985.0,,Asheville,,Road embankment,Flow,Debris,Debris,Slide,,,403.0
1,2004-09-06 08:00:00,310791.233408644,224438.679714088,POINT (-82.303711979355 35.72839094689069),50.522,5.0841,,Buncombe,{7B9729CD-E35D-47E8-A5AD-731872270B8E},,2006-11-01,Blue Ridge Parkway,,58783.0,,Montreat,,Road embankment,,Debris,,Slide,,2004-09-06 08:00:00,2380.0
1,2004-09-06 17:00:00,272546.123800002,195966.2733,POINT (-82.71441199969577 35.45971900022504),25.813,3.362567,,Buncombe,{8B02C591-2D6E-441A-97B9-A494360E408E},,2008-02-15,Landslide Hazard Mapping,,59141.0,,Dunsmore Mountain,Extremely rapid (>5 m/sec),Unmodified,,Debris,,Flow,,2004-09-06 17:00:00,5050.0
1,2004-09-06 17:00:00,311539.132308753,215725.411460987,POINT (-82.2922553427865 35.650119502859894),45.514,4.7068334,,Buncombe,{16AAAEFE-AE37-4C99-ACBA-93A68817AA32},,2008-10-21,Landslide Hazard Mapping,,58909.0,,Montreat,,Road embankment,,Debris,,Slide,,2004-09-06 17:00:00,5300.0
1,2004-09-06 17:00:00,305931.935999997,226819.487799998,POINT (-82.35828700012736 35.74836899967036),30.925,4.0517335,,Buncombe,{6761AF67-A21A-4F76-A065-94B4ADCA3E3C},,,Landslide Hazard Mapping,,59273.0,,Montreat,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4497.0
1,2004-09-06 17:00:00,266672.014899999,199768.924600001,POINT (-82.78067900032526 35.49197400003301),16.952,3.1872,,Buncombe,{9E5FCCDA-3131-4DF6-B49F-13EB173B9386},,2008-02-05,Landslide Hazard Mapping,,59283.0,,Cruso,Extremely rapid (>5 m/sec),Road embankment,,Debris,,Flow,,2004-09-06 17:00:00,4975.0
1,2004-09-06 17:00:00,309606.376699999,214998.569499999,POINT (-82.31332000029276 35.64299199968214),43.367,5.5509,,Buncombe,{5979DE8C-5DA4-4B8E-8720-AB69085BA0A0},,,Landslide Hazard Mapping,,59346.0,,Montreat,, ,,,,,,2004-09-06 17:00:00,5302.0
1,2004-09-06 17:00:00,310912.548299998,215675.790100001,POINT (-82.29915300020825 35.649485000374135),45.514,4.7068334,,Buncombe,{89A1B27D-107C-409B-9965-847097B84E1A},,,Landslide Hazard Mapping,,59347.0,,Montreat,, ,,,,,,2004-09-06 17:00:00,5303.0
1,2004-09-06 17:00:00,311394.8552,215188.2313,POINT (-82.29365100018084 35.64523700016579),40.422,4.3125,,Buncombe,{0C250D0E-BD86-43C5-A174-7B7FF11D02B3},,,Landslide Hazard Mapping,,59348.0,,Montreat,, ,,,,,,2004-09-06 17:00:00,5304.0
1,2004-09-06 17:00:00,310331.984300002,214936.297600001,POINT (-82.30528899947917 35.64264899997923),40.422,4.3125,,Buncombe,{6155CD51-0B3B-43D5-AF8A-820B8724624B},,,Landslide Hazard Mapping,,59349.0,,Montreat,,Unmodified,,,,,,2004-09-06 17:00:00,5305.0
1,2004-09-06 17:00:00,310530.0691,215015.617699999,POINT (-82.30313199950557 35.64342299994656),40.422,4.3125,,Buncombe,{E8ABB29D-2F53-403D-966F-178F6E844BC4},,2008-10-21,Landslide Hazard Mapping,,58908.0,,Montreat,,Stream bank,,Debris,,Slide,,2004-09-06 17:00:00,5299.0
1,2004-09-06 17:00:00,267378.01864657,213612.964980901,POINT (-82.77870994945589 35.61691637572169),37.136,3.1373668,,Buncombe,{2015AC67-DA5A-411E-91C8-C1AA0E68FF59},,2008-03-06,Landslide Hazard Mapping,,59355.0,,Canton,,Road embankment,,Debris,,Slide - translational,,2004-09-06 17:00:00,5085.0
1,2004-09-06 17:00:00,272198.554099999,212595.0031,POINT (-82.72511200028909 35.60938899994716),44.267,3.3371332,,Buncombe,{6EA83B46-93AB-4CA6-980F-C16F0F371123},,2008-03-03,Landslide Hazard Mapping,,59352.0,,Enka,,Cut slope - Not road related,,Weathered rock,,Slide - translational,,2004-09-06 17:00:00,5075.0
1,2004-09-06 17:00:00,269374.075300001,206684.954700001,POINT (-82.75380000031228 35.55519500014465),32.012,3.0269,,Buncombe,{C7966EB8-347D-47DF-BE37-65D3100D0AC2},,2008-02-12,Landslide Hazard Mapping,,60882.0,,Canton,,Stream bank,,Debris,,Slide - translational,,2004-09-06 17:00:00,5001.0
