X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,Sort_Date,IsLandslide,Avg_Rainfall_30day,Max_Rainfall_30day,Max_Rainfall_3day,R1d,R3d,R7d,R30d,API_14
288963.4943,226803.9998,58172.0,661.0,Landslide Hazard Mapping,Buncombe,Weaverville,1981-03-25,,,,Debris,Slide - rotational,,,,Road embankment,,,,{CD558049-66E5-4595-BB55-AFCDB6035B63},1981-03-25 00:00:00,1,1.6638666450007198,13.520999908447266,11.406999588012695,0.0,11.414999588392675,13.02499960269779,49.91599935002159,22.985976081891017
293471.065200001,216042.260299999,58173.0,662.0,Landslide Hazard Mapping,Buncombe,Craggy Pinnacle,1982-05-25,,,,Debris,Slide - rotational,,Earth,Slide - rotational,Road cut,,,,{C0F5BE0D-6A77-42A4-969C-74646BC49E8A},1982-05-25 00:00:00,1,3.723133343271911,21.59000015258789,14.71500015258789,14.71500015258789,27.758999770507216,48.622000163421035,111.69400029815733,53.80745136141483
289777.368199997,230247.398600001,58178.0,667.0,Landslide Hazard Mapping,Buncombe,Mars Hill,1989-07-22,,,,Earth,Slide - translational,,,,Road cut,,,,{C7DED0AC-84B4-4BB1-B1CE-829D5992A0C2},1989-07-22 00:00:00,1,3.1898333176310794,23.753999710083008,3.118000030517578,3.0209999084472656,6.138999938964844,6.691999912261963,95.69499952893239,32.96502337323632
287403.624899998,223755.447500002,58190.0,677.0,Landslide Hazard Mapping,Buncombe,Weaverville,1990-05-22,,,,Rock,Slide,,Debris,Fall,Road cut,,,,{F5D566F9-1D86-46F5-8B34-5D0E88F70D6E},1990-05-22 00:00:00,1,3.306466714416941,22.44300079345703,1.4359999895095825,1.4359999895095825,2.4110000133514404,19.724000096321106,99.19400143250823,38.57551545087107
295886.432400003,208999.858100001,58186.0,676.0,Landslide Hazard Mapping,Buncombe,Oteen,1990-05-23,,,,Weathered rock,Slide,,,,Road cut,,,,{8DD9871F-3989-444B-A2C0-09F17D7D900E},1990-05-23 00:00:00,1,3.7131333673993745,25.374000549316406,2.994999885559082,1.4850000143051147,5.175999879837036,13.056999921798706,111.39400102198124,38.670446409908976
303556.827500001,210237.813000001,58184.0,673.0,Landslide Hazard Mapping,Buncombe,Oteen,1990-05-23,,,,Earth,Slide - rotational,,,,Road embankment,,,,{DD2FBB57-01E4-495F-85BB-01EF06D15603},1990-05-23 00:00:00,1,4.897633299957184,34.70899963378906,6.420000076293945,6.420000076293945,14.171000361442566,21.259000182151794,146.92899899871554,54.13049177064914
309170.0044,211623.693799999,58183.0,672.0,Landslide Hazard Mapping,Buncombe,Black Mountain,1990-05-23,,,,Weathered rock,Slide - rotational,,,,Road cut,,,,{A2FAA910-F4AC-4EFB-8B85-F1FA703FB312},1990-05-23 00:00:00,1,4.660733283559481,32.417999267578125,8.357000350952148,8.357000350952148,17.22000026702881,20.800000190734863,139.82199850678444,53.60115829429292
285236.660099998,207087.397999998,58181.0,670.0,Landslide Hazard Mapping,Buncombe,Asheville,1990-05-23,,,,Earth,Slide,,,,Road embankment,,,,{870F1001-23AF-46D0-AF41-771E715F15B6},1990-05-23 00:00:00,1,3.691499956448873,40.50199890136719,4.392000198364258,0.0,4.392000198364258,16.08899974822998,110.74499869346619,39.49260540014858
286450.089000002,222595.9826,58179.0,668.0,Landslide Hazard Mapping,Buncombe,Weaverville,1990-05-23,,,,Debris,Slide,,,,Road embankment,,,,{11782408-4559-404F-A996-AFC686876FB3},1990-05-23 00:00:00,1,3.370800044139226,24.229000091552734,1.225000023841858,0.8289999961853027,3.159999966621399,22.263999819755554,101.12400132417679,37.48682810425052
313888.132600002,200290.027899999,58192.0,679.0,Landslide Hazard Mapping,Buncombe,Black Mountain,1990-06-05,,,,Debris,Slide - rotational,,Earth,Slide - rotational,Road embankment,,,,{CB274BCD-0EF7-49C1-9307-E2E04A1D92BD},1990-06-05 00:00:00,1,3.409333419799805,41.71900177001953,0.4410000145435333,0.4410000145435333,0.7770000100135803,21.175000309944153,102.28000259399414,38.056171393141284
313235.048199996,200493.546500001,58191.0,678.0,Landslide Hazard Mapping,Buncombe,Black Mountain,1990-06-05,,,,Earth,Slide - translational,,,,Road embankment,,,,{53F2193A-86AB-425C-8691-9D2CD74BE308},1990-06-05 00:00:00,1,3.409333419799805,41.71900177001953,0.4410000145435333,0.4410000145435333,0.7770000100135803,21.175000309944153,102.28000259399414,38.056171393141284
318626.112300001,202637.203299999,57942.0,650.0,Landslide Hazard Mapping,Buncombe,Moffitt Hill,1990-06-05,,,,Earth,Slide,,,,Road cut,,,,{8AE25A50-98BA-41CA-943A-113608FFEBA1},1990-06-05 00:00:00,1,3.4179666213691235,36.61399841308594,0.6159999966621399,0.6159999966621399,1.0349999964237213,23.006000727415085,102.5389986410737,39.773895000618765
275079.193000004,225903.812899999,58193.0,680.0,Landslide Hazard Mapping,Buncombe,Leicester,1990-08-30,,,,Earth,Slide - rotational,,,,Road embankment,,,,{A5FB6A55-515C-4B25-A69B-72A25DEC94A6},1990-08-30 00:00:00,1,2.4905666266878446,27.243999481201172,0.0,0.0,0.0,27.84299945831299,74.71699880063534,35.113253474500695
309606.524300002,225251.915600002,57878.0,68.0,Blue Ridge Parkway,Buncombe,Montreat,2004-05-12,1995-10-04 05:00:00,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{A6312A34-7BD9-4531-9B7B-9AAE65925F41},1995-10-04 05:00:00,1,2.4969333449999493,15.13700008392334,0.0,0.0,0.0,0.0,74.90800034999847,22.998725673058964
301086.2478,220467.2366,58033.0,17.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2003-04-25,,,,Rock,Slide - translational,,,,Road cut,,,,{157BF64E-79EE-4F00-B4D1-ED64730F7633},2003-04-25 00:00:00,1,4.889633357524872,40.11600112915039,6.611999988555908,0.0,6.611999988555908,47.40200114250183,146.68900072574615,65.66878247963298
296335.122900002,217650.357000001,58897.0,2271.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2003-09-30,,,,Debris,Slide,,,,Road cut,,,,{33E76FB8-D393-4E14-9B20-2603FEA420CD},2003-09-30 00:00:00,1,4.068933333953222,46.20800018310547,28.597999572753906,0.0,28.597999572753906,74.80599975585938,122.06800001859665,68.0552739564294
296165.380099997,217978.2049,58898.0,2272.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2003-09-30,,,,Debris,Slide,,,,Road embankment,,,,{405FD521-5FFF-4B92-A995-EF4144A33C99},2003-09-30 00:00:00,1,4.068933333953222,46.20800018310547,28.597999572753906,0.0,28.597999572753906,74.80599975585938,122.06800001859665,68.0552739564294
304831.121100001,222395.636100002,58937.0,2301.0,Blue Ridge Parkway,Buncombe,Montreat,2003-11-20,,,,Rock,Slide - translational,,,,Road cut,,,,{23E21C27-A88C-4FF3-99B1-BC386FEE46E6},2003-11-20 00:00:00,1,5.793433353304863,86.45500183105469,86.45500183105469,86.45500183105469,88.78500175476074,91.36600169539452,173.8030005991459,115.25026697748285
295714.1241,218106.860100001,58839.0,2282.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2004-01-16,,,,Rock,Slide - translational,,,,Road cut,,,,{E7C9D5D2-5EBA-4D39-BB83-D75343AAC8C6},2004-01-16 00:00:00,1,1.1553333312273026,8.144000053405762,2.2149999141693115,2.2149999141693115,2.2149999141693115,3.0869998931884766,34.65999993681908,11.274279907085619
294655.5612,217780.137800001,57869.0,59.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2004-01-16,,,,Rock,Slide,,,,Road cut,,,,{2BCB5512-5D8A-4C7B-B904-F4F889CEBEB3},2004-01-16 00:00:00,1,1.1794333140055338,7.98799991607666,2.069000005722046,2.069000005722046,2.069000005722046,3.1959999799728394,35.382999420166016,11.708315765178929
295489.840499997,218112.369800001,58840.0,2283.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2004-01-16,,,,Rock,Slide - translational,,,,Road cut,,,,{EA43E720-BA53-4CB4-B4C0-99BCEABC43A0},2004-01-16 00:00:00,1,1.1553333312273026,8.144000053405762,2.2149999141693115,2.2149999141693115,2.2149999141693115,3.0869998931884766,34.65999993681908,11.274279907085619
283597.691299997,199444.660399999,57870.0,60.0,Blue Ridge Parkway,Buncombe,Skyland,2004-02-04,,,,Rock,Slide,,,,Road cut,,,,{1D77DE26-60B4-455B-8FEA-E3841B8D65DD},2004-02-04 00:00:00,1,1.8670999951505414,27.81599998474121,27.81599998474121,27.81599998474121,27.81599998474121,29.233999967575073,56.01299985451624,37.31486136588466
283644.023100004,199929.314100001,58944.0,2308.0,Blue Ridge Parkway,Buncombe,Skyland,2004-02-04,,,,Debris,Slide - translational,,,,Road cut,,,,{B9EC3041-DEA3-48A0-AF71-A98E2998E06E},2004-02-04 00:00:00,1,1.8670999951505414,27.81599998474121,27.81599998474121,27.81599998474121,27.81599998474121,29.233999967575073,56.01299985451624,37.31486136588466
283662.6197,200029.215100002,58943.0,2307.0,Blue Ridge Parkway,Buncombe,Skyland,2004-02-04,,,,Rock,Fall,,Rock,Slide,Road cut,,,,{419C8400-BB35-42EB-B4B4-5C74A644503D},2004-02-04 00:00:00,1,1.8670999951505414,27.81599998474121,27.81599998474121,27.81599998474121,27.81599998474121,29.233999967575073,56.01299985451624,37.31486136588466
293388.061099999,212725.229800001,58941.0,2305.0,Blue Ridge Parkway,Buncombe,Oteen,2004-03-25,,,,Rock,Fall,,,,Road cut,,,,{11E0D52F-1915-46A0-BC96-C338291F6E40},2004-03-25 00:00:00,1,1.772766688466072,10.937000274658203,0.0,0.0,0.0,17.587000370025635,53.18300065398216,25.689514824237477
293205.315099999,213142.061299998,58942.0,2306.0,Blue Ridge Parkway,Buncombe,Oteen,2004-03-26,,,,Rock,Slide - translational,,,,Road cut,,,,{61B2AFFA-38FC-49E0-90B9-1FAF3EC23B7B},2004-03-26 00:00:00,1,1.772766688466072,10.937000274658203,0.0,0.0,0.0,14.687000274658203,53.18300065398216,23.918551081502244
309903.8178,224923.396499999,57879.0,69.0,Blue Ridge Parkway,Buncombe,Montreat,2004-05-12,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{6F97B6F9-0657-4E45-9D55-259520BB2965},2004-05-12 00:00:00,1,3.810866685009872,25.34000015258789,8.880000114440918,0.0,15.702000141143799,15.702000141143799,114.32600055029616,41.36965927896617
301079.830700003,220594.116999999,58841.0,2284.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2004-06-11,,,,Rock,Fall,,,,Road cut,,,,{17D54D7F-EF2F-4EF6-AA86-F1C46E8E708B},2004-06-11 00:00:00,1,4.321400032440821,24.224000930786133,5.239999771118164,5.239999771118164,8.842999696731567,19.5409996509552,129.64200097322464,48.708446259252156
303784.158799998,221266.664299998,58842.0,2285.0,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2004-07-09,,,,Rock,Slide - translational,,,,Road cut,,,,{2ECEB9C1-914C-4DD0-A333-BC79CBD5AD11},2004-07-09 00:00:00,1,4.238999968146285,16.084999084472656,10.765999794006348,0.0,12.720999836921692,38.381998777389526,127.16999904438853,53.09084143095914
288234.731299996,207699.099300001,57985.0,403.0,Geohazards,Buncombe,Asheville,2004-08-11,,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road embankment,,,,{7F2640DA-5A36-4143-AD91-C75CA35DD365},2004-08-11 00:00:00,1,1.8985333471248547,14.531000137329102,0.0,0.0,0.0,2.0989999771118164,56.95600041374564,21.38256374876092
