X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,Sort_Date,IsLandslide,Random_Date,Avg_Rainfall_30day,Max_Rainfall_30day,Max_Rainfall_3day,R1d,R3d,R7d,R30d,API_14
295977.8373816837,197386.61687492783,,,,,,,,,,,,,,,,,,,,,0,2017-06-12 21:11:30,4.3713332715754705,32.71099853515625,2.921999931335449,0.0,2.921999931335449,13.158999681472778,131.13999814726412,38.25241774799113
262297.38010475505,216006.24890743507,,,,,,,,,,,,,,,,,,,,,0,2020-11-13 11:16:29,3.335233365992705,36.111000061035156,27.599000930786133,27.599000930786133,36.29800081253052,36.29800081253052,100.05700097978115,57.986675294321955
296696.535899024,209154.00583584773,,,,,,,,,,,,,,,,,,,,,0,2020-04-09 14:13:57,2.36086669874688,29.51300048828125,0.0,0.0,0.0,0.8690000176429749,70.8260009624064,23.791099358840025
283780.0800445007,217134.0081634361,,,,,,,,,,,,,,,,,,,,,0,2019-03-12 22:52:32,5.246666683753332,21.354999542236328,8.725000381469727,0.0,16.521000385284424,16.521000385284424,157.40000051259995,58.35096843704896
284811.34456544067,218008.98112675853,,,,,,,,,,,,,,,,,,,,,0,2019-03-02 06:04:02,4.00633331934611,21.354999542236328,4.191999912261963,4.191999912261963,4.191999912261963,26.205999851226807,120.1899995803833,64.7206610215463
291305.7860813208,218032.6655896626,,,,,,,,,,,,,,,,,,,,,0,2021-04-16 22:35:19,6.026893186817566,63.070796966552734,0.24969999492168427,0.24969999492168427,0.3572999909520149,27.356099672615528,180.806795604527,55.58218744473884
281199.8460000024,195284.1229707344,,,,,,,,,,,,,,,,,,,,,0,2017-06-06 20:25:08,4.697600079638263,38.928001403808594,6.201000213623047,6.201000213623047,6.201000213623047,7.534000249579549,140.92800238914788,56.17476993646231
262203.8620233211,220999.52141356491,,,,,,,,,,,,,,,,,,,,,0,2020-06-26 16:43:10,2.9344333482751,24.02199935913086,8.85200023651123,0.0,13.106000423431396,33.510000467300415,88.033000448253,49.52101484547406
308883.7073431237,225747.69264348512,,,,,,,,,,,,,,,,,,,,,0,2018-01-03 16:21:56,3.4438332757602135,34.625999450683594,0.5849999785423279,0.0,0.5849999785423279,0.5849999785423279,103.3149982728064,35.148550165564245
296281.110349306,224787.33184031633,,,,,,,,,,,,,,,,,,,,,0,2017-06-21 20:58:04,4.910599939525127,41.25,3.5380001068115234,3.5380001068115234,6.488000154495239,37.727999806404114,147.31799818575382,46.139835130900195
296343.7659014195,232482.75778697917,,,,,,,,,,,,,,,,,,,,,0,2019-08-19 19:46:45,3.810500036366284,51.005001068115234,0.0,0.0,0.0,18.81599998474121,114.31500109098852,33.14372731575412
301681.4397773922,196382.0375348777,,,,,,,,,,,,,,,,,,,,,0,2021-11-16 12:15:32,1.7568566249373059,22.886199951171875,0.0,0.0,0.0,22.886199951171875,52.705698748119175,28.165716718054615
291993.7542757035,194023.70448519263,,,,,,,,,,,,,,,,,,,,,0,2020-09-04 17:57:13,6.205533326102886,36.994998931884766,2.2860000133514404,0.0,3.815999984741211,21.781000196933746,186.1659997830866,60.01285005696983
294611.1845791601,210389.21022478509,,,,,,,,,,,,,,,,,,,,,0,2020-10-21 01:55:08,3.5648000500475368,43.124000549316406,0.0,0.0,0.0,0.2720000147819519,106.9440015014261,35.406326374295006
298707.7642072787,227090.12609979487,,,,,,,,,,,,,,,,,,,,,0,2020-08-02 09:30:17,3.4281333401139515,28.041000366210938,28.041000366210938,28.041000366210938,49.09100079536438,57.768000558018684,102.84400020341855,66.34418190819238
304678.1413204821,202295.9915056737,,,,,,,,,,,,,,,,,,,,,0,2020-12-05 13:36:59,2.593300014734268,22.29400062561035,0.0,0.0,0.0,18.29299908876419,77.79900044202805,29.64624097193492
279983.61651590216,226497.5149395914,,,,,,,,,,,,,,,,,,,,,0,2019-07-26 15:19:26,3.694100038552036,50.2130012512207,50.2130012512207,0.0,62.4900016784668,76.85200138669461,110.82300115656108,78.4966235234945
286040.42641257646,194416.6296667824,,,,,,,,,,,,,,,,,,,,,0,2017-08-22 19:22:37,4.7910667012600845,27.389999389648438,0.0,0.0,0.0,18.3580002784729,143.73200103780255,61.91297053976739
268044.9334001469,199161.92772223736,,,,,,,,,,,,,,,,,,,,,0,2021-03-13 12:58:20,3.375109921892484,19.34980010986328,0.0,0.0,0.0,0.0,101.25329765677452,26.738519300449838
267446.6306215049,210865.48257283983,,,,,,,,,,,,,,,,,,,,,0,2019-04-02 22:54:14,2.3358333269755045,13.123000144958496,9.630999565124512,0.0,9.630999565124512,14.687999725341797,70.07499980926514,25.877606748007285
285172.870290744,195038.2330347438,,,,,,,,,,,,,,,,,,,,,0,2019-07-03 03:24:50,7.027066645026207,47.5629997253418,0.0,0.0,0.0,0.0,210.8119993507862,59.584712807953096
310075.0461938707,202373.72651988477,,,,,,,,,,,,,,,,,,,,,0,2018-11-08 16:57:12,9.181366608291864,116.98600006103516,7.873000144958496,6.7170000076293945,15.347000181674957,30.547999918460846,275.44099824875593,76.8633822930436
308887.4663614198,206683.74023809473,,,,,,,,,,,,,,,,,,,,,0,2017-11-30 03:40:26,1.4848666508992514,16.638999938964844,0.0,0.0,0.0,0.0,44.54599952697754,10.787203957180548
269544.15107610024,199497.7643395347,,,,,,,,,,,,,,,,,,,,,0,2021-08-19 08:18:23,10.709036498673958,129.69400024414062,129.69400024414062,129.69400024414062,207.88769912719727,230.26549887657166,321.27109496021876,253.6049642769384
287146.3582696513,213372.4193493001,,,,,,,,,,,,,,,,,,,,,0,2020-11-27 08:39:16,3.4199667314688367,55.19200134277344,5.418000221252441,5.418000221252441,5.418000221252441,5.902000218629837,102.5990019440651,25.60227686057236
304326.3520483367,208759.80389638757,,,,,,,,,,,,,,,,,,,,,0,2020-03-21 01:17:32,1.9164333338538806,14.598999977111816,3.421999931335449,0.0,4.585999965667725,9.818000063300133,57.49300001561642,21.070566268926203
298108.12061488384,212360.6144733499,,,,,,,,,,,,,,,,,,,,,0,2019-01-05 09:44:56,7.374099920069178,58.82099914550781,15.217000007629395,7.513999938964844,22.73099994659424,49.25099955499172,221.22299760207534,107.23665866096549
298720.9902987207,197121.84393160668,,,,,,,,,,,,,,,,,,,,,0,2021-02-10 12:57:31,1.545993282770117,15.570099830627441,8.34999942779541,0.0,8.415999427437782,9.445099368691444,46.379798483103514,23.74685482662372
281428.9920811366,201967.2410436962,,,,,,,,,,,,,,,,,,,,,0,2019-09-23 09:47:43,0.5358333414963757,6.064000129699707,0.0,0.0,0.0,0.0010000000474974513,16.07500024489127,4.72902754977399
279410.43073679873,199717.0465938923,,,,,,,,,,,,,,,,,,,,,0,2019-03-21 05:32:30,4.645466697464387,27.25200080871582,0.0,0.0,0.0,10.42799997329712,139.3640009239316,36.399285907457084
288097.39490895916,227347.49111880505,,,,,,,,,,,,,,,,,,,,,0,2019-04-03 02:07:42,2.0332333557773383,11.239999771118164,10.050000190734863,0.0,10.050000190734863,10.050000190734863,60.997000673320144,22.466985509106618
294075.8732906035,213252.50891902455,,,,,,,,,,,,,,,,,,,,,0,2018-02-19 17:03:21,3.0874666968981423,26.968000411987305,1.0420000553131104,1.0420000553131104,1.7380000352859497,11.346000075340271,92.62400090694427,43.45274744929095
302033.79271886166,213226.1425519652,,,,,,,,,,,,,,,,,,,,,0,2017-06-18 03:33:10,5.385366615521101,36.625999450683594,13.62399959564209,1.6230000257492065,15.246999621391296,23.109999775886536,161.56099846563302,46.29352906833135
281095.53250811243,227267.8214535509,,,,,,,,,,,,,,,,,,,,,0,2019-10-10 02:48:49,0.846266690082848,12.817000389099121,12.817000389099121,2.0810000896453857,14.898000478744507,14.898000478744507,25.388000702485442,16.970726540281547
300195.4524689377,204855.04798150068,,,,,,,,,,,,,,,,,,,,,0,2021-06-09 09:34:30,2.224503275658935,23.981698989868164,10.272899627685547,10.272899627685547,11.201699629426003,12.57409955561161,66.73509826976806,30.612221572966757
290868.6350536636,222783.36142191404,,,,,,,,,,,,,,,,,,,,,0,2017-04-27 11:11:44,6.4039333383242285,34.96799850463867,30.784000396728516,0.0,32.04300034046173,94.79100143909454,192.11800014972687,95.53661635740738
292428.9648212555,198806.89815639923,,,,,,,,,,,,,,,,,,,,,0,2021-04-16 09:09:31,7.084113193551699,73.7688980102539,0.3536999821662903,0.08980000019073486,0.44349998235702515,28.701800048351288,212.52339580655098,63.13208911451704
