Max_Rainfall_30day,Avg_Rainfall_30day,Soil_Depth_cm,Elevation_m,Slope_deg,SHAP_Max_Rainfall_30day,SHAP_Avg_Rainfall_30day,SHAP_Soil_Depth_cm,SHAP_Elevation_m,SHAP_Slope_deg,IsLandslide
13.521,1.6638668,200.0,858.9466552734375,30.174786511356128,0.0962599968421273,0.07735166615399067,-0.03592333234671969,0.0015516669949283822,0.06165999841352459,1
21.59,3.7231333,76.0,633.5764770507812,11.422098571087414,0.018498333880561404,0.12456499968946445,0.1753066626994405,0.11150666419940534,-0.018976666547823696,1
23.754,3.1898334,200.0,698.3079223632812,30.540238113471773,-0.021316665544873103,0.19538332967320457,-0.009383332738070748,0.04840833304740954,0.18780832946125883,1
22.443,3.3064668,200.0,653.3472290039062,2.167766373941818,-0.040009998952155,0.20638166312361136,-0.01413499927672092,0.13006499853974673,0.15859833092312328,1
25.374,3.7131336,200.0,680.1133422851562,12.948551891512016,-0.03204666541714687,0.02244499968306627,-0.04007166552124545,0.006270000492804684,-0.025696666050353086,1
34.709,4.897633,200.0,902.8043823242188,1.2653253099567934,0.02927499994984828,0.026650000014924444,-0.013566666208207607,0.048299999007140285,0.2102416621899465,1
32.418,4.660733,200.0,651.35498046875,1.9058586452679311,-0.014891665790928528,0.004266666363691911,-0.009849999502766877,0.11694999836327043,0.1844249970052624,1
40.502,3.6915002,200.0,812.0546875,17.419669369819996,0.1064699987048516,0.20613666248566007,-0.020246665781596677,0.031903332897927614,0.026636666607228108,1
24.229,3.3708,200.0,656.0740356445312,7.620385324504959,0.031186667064903303,0.2389699955721153,-0.014579999255365692,0.12921166472835466,0.09611166570335626,1
41.719,3.4093332,200.0,650.7715454101562,2.283487972861629,0.08523499929346144,0.2397599945659749,-0.003439999572583474,0.12601833219698164,0.1233266644278774,1
41.719,3.4093332,200.0,661.576904296875,4.099506388424334,0.09614499875809997,0.2406866612599697,-0.0008049995586043223,0.14649499824678058,0.05837833260768093,1
36.614,3.4179664,200.0,705.7612915039062,7.271432607732088,0.047503332775086164,0.27994499401480427,-0.008121666020015255,0.027745000405120665,0.03382833266514353,1
