IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,Elevation_m,Slope_deg,Soil_Depth_cm,Avg_Rainfall_30day,Max_Rainfall_30day,Max_Rainfall_3day,R1d,R3d,R7d,R30d,API_14,County,MUKEY,MUSYM,GlobalID,OBJECTID,Data_Type,Source_Period
1,2003-11-20 00:00:00,2003-11-20 00:00:00,,304831.121100001,222395.636100002,,,,5.793433353304863,86.45500183105469,86.45500183105469,86.45500183105469,88.78500175476074,91.36600169539452,173.8030005991459,115.25026697748284,Buncombe,,,{23E21C27-A88C-4FF3-99B1-BC386FEE46E6},58937.0,Landslide,1980_2021
1,2004-01-16 00:00:00,2004-01-16 00:00:00,,294655.5612,217780.137800001,,,,1.1794333140055338,7.98799991607666,2.069000005722046,2.069000005722046,2.069000005722046,3.1959999799728394,35.382999420166016,11.708315765178927,Buncombe,,,{2BCB5512-5D8A-4C7B-B904-F4F889CEBEB3},57869.0,Landslide,1980_2021
1,2004-01-16 00:00:00,2004-01-16 00:00:00,,295489.840499997,218112.369800001,,,,1.1553333312273026,8.144000053405762,2.2149999141693115,2.2149999141693115,2.2149999141693115,3.086999893188477,34.65999993681908,11.27427990708562,Buncombe,,,{EA43E720-BA53-4CB4-B4C0-99BCEABC43A0},58840.0,Landslide,1980_2021
1,2004-01-16 00:00:00,2004-01-16 00:00:00,,295714.1241,218106.860100001,,,,1.1553333312273026,8.144000053405762,2.2149999141693115,2.2149999141693115,2.2149999141693115,3.086999893188477,34.65999993681908,11.27427990708562,Buncombe,,,{E7C9D5D2-5EBA-4D39-BB83-D75343AAC8C6},58839.0,Landslide,1980_2021
1,2004-02-04 00:00:00,2004-02-04 00:00:00,,283597.691299997,199444.660399999,,,,1.8670999951505416,27.81599998474121,27.81599998474121,27.81599998474121,27.81599998474121,29.233999967575073,56.01299985451624,37.31486136588466,Buncombe,,,{1D77DE26-60B4-455B-8FEA-E3841B8D65DD},57870.0,Landslide,1980_2021
1,2004-02-04 00:00:00,2004-02-04 00:00:00,,283644.023100004,199929.314100001,,,,1.8670999951505416,27.81599998474121,27.81599998474121,27.81599998474121,27.81599998474121,29.233999967575073,56.01299985451624,37.31486136588466,Buncombe,,,{B9EC3041-DEA3-48A0-AF71-A98E2998E06E},58944.0,Landslide,1980_2021
1,2004-02-04 00:00:00,2004-02-04 00:00:00,,283662.6197,200029.215100002,,,,1.8670999951505416,27.81599998474121,27.81599998474121,27.81599998474121,27.81599998474121,29.233999967575073,56.01299985451624,37.31486136588466,Buncombe,,,{419C8400-BB35-42EB-B4B4-5C74A644503D},58943.0,Landslide,1980_2021
1,2004-03-25 00:00:00,2004-03-25 00:00:00,,293388.061099999,212725.229800001,,,,1.772766688466072,10.937000274658203,0.0,0.0,0.0,17.587000370025635,53.18300065398216,25.689514824237477,Buncombe,,,{11E0D52F-1915-46A0-BC96-C338291F6E40},58941.0,Landslide,1980_2021
1,2004-03-26 00:00:00,2004-03-26 00:00:00,,293205.315099999,213142.061299998,,,,1.772766688466072,10.937000274658203,0.0,0.0,0.0,14.687000274658203,53.18300065398216,23.918551081502244,Buncombe,,,{61B2AFFA-38FC-49E0-90B9-1FAF3EC23B7B},58942.0,Landslide,1980_2021
1,2004-05-12 00:00:00,2004-05-12 00:00:00,,309903.8178,224923.396499999,,,,3.810866685009872,25.34000015258789,8.880000114440918,0.0,15.7020001411438,15.7020001411438,114.32600055029616,41.36965927896617,Buncombe,,,{6F97B6F9-0657-4E45-9D55-259520BB2965},57879.0,Landslide,1980_2021
1,2004-06-11 00:00:00,2004-06-11 00:00:00,,301079.830700003,220594.116999999,,,,4.321400032440821,24.224000930786133,5.239999771118164,5.239999771118164,8.842999696731567,19.5409996509552,129.64200097322464,48.70844625925216,Buncombe,,,{17D54D7F-EF2F-4EF6-AA86-F1C46E8E708B},58841.0,Landslide,1980_2021
1,2004-07-09 00:00:00,2004-07-09 00:00:00,,303784.158799998,221266.664299998,,,,4.238999968146285,16.084999084472656,10.765999794006348,0.0,12.720999836921692,38.381998777389526,127.16999904438852,53.09084143095914,Buncombe,,,{2ECEB9C1-914C-4DD0-A333-BC79CBD5AD11},58842.0,Landslide,1980_2021
1,2004-08-11 00:00:00,2004-08-11 00:00:00,,288234.731299996,207699.099300001,,,,1.8985333471248549,14.531000137329102,0.0,0.0,0.0,2.0989999771118164,56.95600041374564,21.38256374876092,Buncombe,,,{7F2640DA-5A36-4143-AD91-C75CA35DD365},57985.0,Landslide,1980_2021
1,2004-09-06 08:00:00,2004-09-06 08:00:00,,310791.233408644,224438.679714088,,,,5.084100008010864,50.52199935913086,5.383999824523926,0.0,5.383999824523926,84.99899959564209,152.52300024032593,92.076319818013,Buncombe,,,{7B9729CD-E35D-47E8-A5AD-731872270B8E},58783.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,262140.619000003,220544.513999999,,,,1.9486666773601125,23.166000366210938,1.1440000534057615,0.0,1.1440000534057615,17.837999736890197,58.460000320803374,22.212642884386675,Buncombe,,,{3D724714-ECD4-4B4B-A1E2-7FD65090FCD6},60903.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,266672.014899999,199768.924600001,,,,3.1872000062217314,16.95199966430664,1.965999960899353,0.0869999974966049,2.052999958395958,32.22099982202053,95.61600018665196,46.099505004913354,Buncombe,,,{9E5FCCDA-3131-4DF6-B49F-13EB173B9386},59283.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,267378.01864657,213612.964980901,,,,3.137366689244906,37.13600158691406,1.2970000505447388,0.0,1.2970000505447388,22.732999563217163,94.12100067734718,35.63799428220819,Buncombe,,,{2015AC67-DA5A-411E-91C8-C1AA0E68FF59},59355.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,269374.075300001,206684.954700001,,,,3.0269000778595605,32.012001037597656,2.242000102996826,0.5139999985694885,2.7560001015663147,26.00800049304962,90.80700233578682,37.47007076203261,Buncombe,,,{C7966EB8-347D-47DF-BE37-65D3100D0AC2},60882.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,272198.554099999,212595.0031,,,,3.3371332405678307,44.266998291015625,1.8489999771118164,0.0,1.8489999771118164,23.68999934196472,100.11399721703492,37.843854400743105,Buncombe,,,{6EA83B46-93AB-4CA6-980F-C16F0F371123},59352.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,272546.123800002,195966.2733,,,,3.3625666397313276,25.812999725341797,2.311000108718872,0.0,2.311000108718872,58.42799913883209,100.87699919193984,56.20994330007045,Buncombe,,,{8B02C591-2D6E-441A-97B9-A494360E408E},59141.0,Landslide,1980_2021
1,2004-09-06 17:00:00,2004-09-06 17:00:00,,274607.697490563,210040.296216526,,,,3.0408999738593896,28.51099967956543,1.9919999837875368,0.3179999887943268,2.3099999725818634,24.99999961256981,91.22699921578167,38.20136598905645,Buncombe,,,{6B455B5E-0611-4FD8-927A-4CBC337F527A},61379.0,Landslide,1980_2021
