k_rain,rain_features,all_features,Accuracy,Precision,Recall,F1,ROC_AUC,Brier,error,TimeSec
2,"['R3d', 'R7d']","['R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7582781456953642,0.7363636363636363,0.804635761589404,0.7689873417721519,0.8322332353844129,0.1672841324503311,,2.8412
3,"['Max_Rainfall_3day', 'R1d', 'R7d']","['Max_Rainfall_3day', 'R1d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7582781456953642,0.7378048780487805,0.8013245033112583,0.7682539682539683,0.8348975922108679,0.165953059602649,,3.0429
3,"['R1d', 'R3d', 'R7d']","['R1d', 'R3d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7582781456953642,0.7363636363636363,0.804635761589404,0.7689873417721519,0.832792421385027,0.1673540463576159,,2.6715
2,"['R3d', 'R30d']","['R3d', 'R30d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7549668874172185,0.7319277108433735,0.804635761589404,0.7665615141955836,0.8451877110653041,0.16022825165562912,,2.8261
2,"['Max_Rainfall_3day', 'R7d']","['Max_Rainfall_3day', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7549668874172185,0.7319277108433735,0.804635761589404,0.7665615141955836,0.8318714091487216,0.16727400000000003,,2.6349
2,"['R1d', 'R7d']","['R1d', 'R7d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.75,0.7267267267267268,0.8013245033112583,0.7622047244094489,0.814903951581071,0.17587332450331125,,3.0959
3,"['Max_Rainfall_3day', 'R1d', 'R3d']","['Max_Rainfall_3day', 'R1d', 'R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7466887417218543,0.7292307692307692,0.7847682119205298,0.7559808612440191,0.807766106749704,0.17927269536423843,,2.5911
3,"['Max_Rainfall_30day', 'R1d', 'R3d']","['Max_Rainfall_30day', 'R1d', 'R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7433774834437086,0.7168141592920354,0.804635761589404,0.7581903276131046,0.8353580983290207,0.16607155629139073,,2.6465
2,"['Max_Rainfall_3day', 'R1d']","['Max_Rainfall_3day', 'R1d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7384105960264901,0.7155688622754491,0.7913907284768212,0.7515723270440252,0.7932601640278935,0.18463552317880796,,2.7052
2,"['Max_Rainfall_30day', 'R1d']","['Max_Rainfall_30day', 'R1d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7367549668874173,0.7134328358208956,0.7913907284768212,0.750392464678179,0.8179520635059866,0.17384192052980132,,2.64
2,"['Max_Rainfall_3day', 'R3d']","['Max_Rainfall_3day', 'R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7350993377483444,0.713855421686747,0.7847682119205298,0.7476340694006309,0.8024428753124863,0.18103087417218544,,2.6674
1,['Max_Rainfall_30day'],"['Max_Rainfall_30day', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7334437086092715,0.7079646017699115,0.7947019867549668,0.748829953198128,0.8007379062321828,0.18031495364238412,,3.0782
1,['Max_Rainfall_3day'],"['Max_Rainfall_3day', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7317880794701986,0.7147239263803681,0.7715231788079471,0.7420382165605095,0.7876518573746765,0.18777661589403974,,2.636
2,"['R1d', 'R3d']","['R1d', 'R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7301324503311258,0.7062314540059347,0.7880794701986755,0.7449139280125195,0.7950638129906583,0.184571880794702,,3.134
1,['R3d'],"['R3d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.7086092715231788,0.6875,0.7649006622516556,0.7241379310344828,0.7872845489232928,0.18679573509933775,,2.6032
1,['R1d'],"['R1d', 'Elevation_m', 'Slope_deg', 'Soil_Depth_Deep200_Flag']",0.6986754966887417,0.6840490797546013,0.7384105960264901,0.7101910828025477,0.7622034121310468,0.20158753642384106,,2.6166
