Model,FeatureSet,Accuracy,Precision,Recall,F1,ROC_AUC,Brier
LogReg,F0,0.6198347107438017,0.609375,0.65,0.6290322580645161,0.6726775956284152,0.2290034064047818
LogReg,F1,0.7024793388429752,0.6875,0.7333333333333333,0.7096774193548387,0.7713114754098361,0.19257000161217847
LogReg,F2,0.7024793388429752,0.6818181818181818,0.75,0.7142857142857143,0.7751366120218579,0.19095441407776417
