index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
91,14.598999977111816,3.421999931335449,0.0,4.585999965667725,896.8770141601562,22.74724924488898,14.598999977111816,3.421999931335449,0.0,4.585999965667725,896.8770141601562,22.74724924488898,0.036452517322402414,0.0318580741953757,0.0489378815724398,0.03375286207172741,0.005575066312614814,0.07393812134701723,0.5014854771784234,0.23051452282157736,0.23051452282157736,0.732,1,0,0,2020-03-21 01:17:32,,2020-03-21 01:17:32,304326.3520483367,208759.80389638757,,,,NonLandslide,2017_2021,1672005.0,EDD
92,192.5260009765625,0.0,0.0,0.0,887.0120849609375,26.416583975505898,192.5260009765625,0.0,0.0,0.0,887.0120849609375,26.416583975505898,0.1364376531898142,0.03388899609322487,0.03952184132091511,0.03150314463613582,0.062418787968776555,0.0987440996127147,0.5014854771784234,0.40251452282158123,0.40251452282158123,0.904,1,1,1,2004-09-16 17:00:00,2004-09-16 17:00:00,,270712.609702996,195163.949986,Buncombe,{DE41599D-A3EF-4028-B2AF-C15A6D5E0834},58079.0,Landslide,1980_2021,1672006.0,EDE
93,68.8832015991211,68.8832015991211,68.8832015991211,87.71610045433044,611.1830444335938,16.317222834263305,68.8832015991211,68.8832015991211,68.8832015991211,87.71610045433044,611.1830444335938,16.317222834263305,-0.007090361268953828,-0.016575991869338464,-0.011733440886640762,0.00032745903106201884,-0.029763959276167064,-0.018649182908386304,0.5014854771784234,-0.08348547717842442,0.08414039524054845,0.418,0,1,1,2021-10-08 00:00:00,2021-10-08,,285378.175106226,210101.916417347,Buncombe,{33993078-EDBD-46F6-AAE5-CB538C092EA5},116435.0,Landslide,2017_2021,1672108.0,UFB
97,36.61399841308594,0.6159999966621399,0.6159999966621399,1.034999996423721,720.593505859375,36.88973471058946,36.61399841308594,0.6159999966621399,0.6159999966621399,1.034999996423721,720.593505859375,36.88973471058946,0.004172010685625854,-0.04122363466616444,-0.0014784529518792734,-0.04634032650748585,-0.09412422383754392,0.3275091500990298,0.5014854771784234,0.14851452282158217,0.5148477987477291,0.65,1,1,1,1990-06-05 00:00:00,1990-06-05 00:00:00,,318626.112300001,202637.203299999,Buncombe,{8AE25A50-98BA-41CA-943A-113608FFEBA1},57942.0,Landslide,1980_2021,1672006.0,EDE
101,61.90399932861328,0.0,0.0,0.0,690.118408203125,23.89996553237043,61.90399932861328,0.0,0.0,0.0,690.118408203125,23.89996553237043,-0.06714896208575437,-0.039457291067498755,0.02473251520785696,-0.05502203226271725,-0.03221504471165986,0.09762533774135201,0.5014854771784234,-0.07148547717842124,0.3162011830768392,0.43,0,1,1,2008-09-25 00:00:00,2008-09-25,,292607.376900002,221308.852899998,Buncombe,{682DD932-259B-420D-A390-4EFAB5F10AC0},59191.0,Landslide,2005_2010,1672009.0,EVD2
104,61.5099983215332,13.758000373840332,1.2549999952316284,15.436000376939774,646.42431640625,32.197678617648506,61.5099983215332,13.758000373840332,1.2549999952316284,15.436000376939774,646.42431640625,32.197678617648506,-0.060810955704045704,-0.03850435164019617,-0.07763931981833812,-0.03137990916135166,0.016450576571287262,0.23239848257422746,0.5014854771784234,0.04051452282158308,0.45718359546944637,0.542,1,1,1,2005-07-07 00:00:00,2005-07-07,,314129.586978264,200111.68468841,Buncombe,{430B4290-D951-4EAF-B303-7C61D2E7C4FD},58216.0,Landslide,2005_2010,1672007.0,EDF
107,71.92350006103516,11.248600006103516,0.0,12.466499924659727,764.9298095703125,16.757613940203484,71.92350006103516,11.248600006103516,0.0,12.466499924659727,764.9298095703125,16.757613940203484,-0.003651605081859706,0.03046641836879015,0.021712867570084036,0.03725386834233687,0.11684694325198851,-0.024113969629761544,0.5014854771784234,0.17851452282157831,0.2340456722448208,0.68,1,1,1,2021-08-24 00:00:00,2021-08-24,,290848.75334404,197346.177101562,Buncombe,{C5228436-BFC0-4FFA-AE14-F25381FCE6A3},115161.0,Landslide,2017_2021,1672010.0,EVE2
109,27.14800071716309,0.0049999998882412,0.0049999998882412,0.0049999998882412,685.203125,6.558339185680442,27.14800071716309,0.0049999998882412,0.0049999998882412,0.0049999998882412,685.203125,6.558339185680442,-0.016097850372347892,-0.03660804181349278,-0.006510746152414777,-0.04653953997761031,-0.0927813922372799,-0.29694790662527265,0.5014854771784234,-0.4954854771784183,0.4954854771784183,0.006,0,0,0,2019-07-12 17:33:13,,2019-07-12 17:33:13,282274.29914903303,202645.29086470412,,,,NonLandslide,2017_2021,1672015.0,EWD
111,21.399999618530273,3.2190001010894775,3.2190001010894775,4.14300012588501,704.6412963867188,19.16394923917055,21.399999618530273,3.2190001010894775,3.2190001010894775,4.14300012588501,704.6412963867188,19.16394923917055,-0.017144293396735323,0.038573193045376646,-0.04698391771460194,0.032761201472173714,-0.04765981534570968,0.10896815476107473,0.5014854771784234,0.06851452282157815,0.29209057573567204,0.57,1,0,0,2020-09-06 07:50:24,,2020-09-06 07:50:24,290576.17151655944,228899.28535399152,,,,NonLandslide,2017_2021,1672009.0,EVD2
112,62.83659744262695,0.0,0.0,0.0,757.952392578125,25.463013324836925,62.83659744262695,0.0,0.0,0.0,757.952392578125,25.463013324836925,-0.07792073535830164,0.0015646653934358093,0.04311198661972467,-0.010172391782670384,0.11466007744051471,0.11127092050887774,0.5014854771784234,0.1825145228215809,0.35870077710352494,0.684,1,0,0,2021-04-07 11:03:16,,2021-04-07 11:03:16,274132.6102465806,209309.9875876233,,,,NonLandslide,2017_2021,1672016.0,EWE
114,55.62200164794922,0.4239999949932098,0.4239999949932098,0.4239999949932098,829.8534545898438,33.35032196400792,55.62200164794922,0.4239999949932098,0.4239999949932098,0.4239999949932098,829.8534545898438,33.35032196400792,-0.16755407598000616,-0.05062482775129895,0.0017158565131236382,-0.06852950739142903,0.05362532174424411,0.2178817556869492,0.5014854771784234,-0.013485477178417166,0.5599313450670511,0.488,0,0,0,2020-10-18 19:35:43,,2020-10-18 19:35:43,265954.62234147824,221524.94592675348,,,,NonLandslide,2017_2021,1671929.0,ARF
115,55.69499969482422,33.37900161743164,0.0710000023245811,45.32200136035681,1255.7239990234375,30.18177415002718,55.69499969482422,33.37900161743164,0.0710000023245811,45.32200136035681,1255.7239990234375,30.18177415002718,-0.037880126625938024,-0.049451653617093076,0.007171157642336012,-0.03350421908041938,-0.09131651053216812,0.07349587503486364,0.5014854771784234,-0.1314854771784189,0.2928195425328183,0.37,0,0,0,2020-01-27 17:21:21,,2020-01-27 17:21:21,310667.7847360951,222966.00418063693,,,,NonLandslide,2017_2021,1672096.0,TPE
116,106.8759994506836,11.529000282287598,11.529000282287598,17.034000158309937,745.2557983398438,5.650405622669232,106.8759994506836,11.529000282287598,11.529000282287598,17.034000158309937,745.2557983398438,5.650405622669232,-0.04397621524615627,-0.004249910259136597,-0.025653789732884,-0.004815113778287724,-0.014699342740988174,-0.2220911054209652,0.5014854771784234,-0.31548547717841796,0.31548547717841796,0.186,0,0,0,2018-10-10 00:14:14,,2018-10-10 00:14:14,306327.5361796352,215167.30813653697,,,,NonLandslide,2017_2021,1671987.0,CKC2
121,41.71900177001953,0.4410000145435333,0.4410000145435333,0.7770000100135803,630.358642578125,22.397981673367912,41.71900177001953,0.4410000145435333,0.4410000145435333,0.7770000100135803,630.358642578125,22.397981673367912,-0.0017489367803205733,-0.06940506039031269,0.023520438648515187,-0.06177162279510831,0.024466930689379336,0.1034527734494265,0.5014854771784234,0.01851452282157945,0.2843657627530626,0.52,1,1,1,1990-06-05 00:00:00,1990-06-05 00:00:00,,313235.048199996,200493.546500001,Buncombe,{53F2193A-86AB-425C-8691-9D2CD74BE308},58191.0,Landslide,1980_2021,1672007.0,EDF
123,30.14699935913086,0.0,0.0,0.0,795.4635009765625,23.18258822400266,30.14699935913086,0.0,0.0,0.0,795.4635009765625,23.18258822400266,0.023455100043810847,-0.014318770320264886,0.04305881674810986,-0.02644286291384286,0.07761049487772959,0.03715174438603532,0.5014854771784234,0.14051452282157786,0.22203778928979337,0.642,1,0,0,2019-05-31 04:53:25,,2019-05-31 04:53:25,269570.02133800293,203766.5488906611,,,,NonLandslide,2017_2021,1672017.0,EWF
154,97.6084976196289,0.0032999999821186,0.0,0.0032999999821186,872.1277465820312,27.78874288968696,97.6084976196289,0.0032999999821186,0.0,0.0032999999821186,872.1277465820312,27.78874288968696,-0.11528859778518069,-0.010365723103316783,0.026827012016220106,-0.01800231578188763,0.0888662616587849,0.17847788581696217,0.5014854771784234,0.15051452282158206,0.4378277961623523,0.652,1,0,0,2021-11-04 17:55:31,,2021-11-04 17:55:31,269359.3849993473,196829.460223544,,,,NonLandslide,2017_2021,1672006.0,EDE
174,19.010000228881836,0.930999994277954,0.0,0.930999994277954,1039.6004638671875,21.040715786656495,19.010000228881836,0.930999994277954,0.0,0.930999994277954,1039.6004638671875,21.040715786656495,0.06472753565287248,0.004929105941221634,0.025334053260510393,-0.016416344488606717,0.03310668611609817,0.012833486339480824,0.5014854771784234,0.1245145228215768,0.15734721179879024,0.626,1,1,1,2008-04-17 00:00:00,2008-04-17,,295265.719400004,203206.709199999,Buncombe,{BBA53249-2C0C-4674-B019-1F48342106B2},60915.0,Landslide,2005_2010,1671929.0,ARF
