date,ppt_mm
2024-09-01,7.935731887817383
2024-09-02,11.640833854675293
2024-09-03,1.2639065980911255
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-07,0.0
2024-09-08,0.0859033465385437
2024-09-09,0.0
2024-09-10,0.0
2024-09-11,0.0
2024-09-12,0.0
2024-09-13,7.159036159515381
2024-09-14,1.4677300453186035
2024-09-15,1.3845241069793701
2024-09-16,0.5968336462974548
2024-09-17,45.621421813964844
2024-09-18,12.920470237731934
2024-09-19,1.295015573501587
2024-09-20,1.3353787660598755
2024-09-21,0.0
2024-09-22,0.009441680274903774
2024-09-23,0.3748572766780853
2024-09-24,8.237295150756836
2024-09-25,15.4378662109375
2024-09-26,126.1084213256836
2024-09-27,149.9956512451172
2024-09-28,62.63278579711914
2024-09-29,1.0313899517059326
2024-09-30,0.12787315249443054
