X,Y,slope,rainfall,IsLandslide
294655.5612,217780.137800001,66.06023514057395,101.26124807661992,1
283597.691299997,199444.660399999,59.03197892850461,109.50611424702143,1
275138.453299999,197994.27,57.046697751819146,111.60467293871815,1
277000.372000001,196806.5075,22.391039226192774,117.4880418130313,1
278342.997299999,199955.242400002,44.72610449605773,110.21414795153467,1
277183.502700001,197102.916200001,43.884305331389164,116.06289365675912,1
274690.545400001,198180.661899999,36.38966871477508,110.3968524382813,1
274831.793200001,198221.0341,44.89853187673954,110.29731411974538,1
275046.8957,198294.076299999,31.485934387304184,110.10643612922209,1
274221.723800004,197117.8497,7.045807828333839,114.85536646198483,1
274868.799699999,197675.362300001,8.449168867088128,112.94130154862721,1
318626.112300001,202637.203299999,72.6931183115168,124.26966702514167,1
297772.001599997,209321.451299999,71.59507851632105,93.68703012701837,1
298048.144599997,209361.830200002,68.02142038815188,93.77434956813826,1
270057.140600003,213245.291499998,60.7726347503039,90.05033206794482,1
275505.967399999,198476.9595,30.53533659273757,109.55727526976702,1
275525.265299998,198595.692899998,36.60203595952631,108.53947740288766,1
275999.318599999,198842.986699998,9.64062311956817,107.6579893693918,1
275804.451700002,199055.473499998,12.509135713155962,105.52852407693484,1
276250.692299999,198746.306899998,38.39588856543573,108.84517376148992,1
277152.242899999,199524.0174,33.848442965400494,109.40586395859114,1
277205.434,199403.2698,34.194809290246596,109.75743899376539,1
277421.681199998,199466.888900001,35.05308108216437,110.02990185505493,1
277504.395499997,198507.358399998,4.71038584785991,111.1607861473037,1
276980.117799997,197071.907299999,38.65752506131839,116.44898511477814,1
281491.271399997,197112.289299998,30.957966374502863,117.05124275930682,1
276901.8125,196945.916299999,33.08058807861672,116.93800125007147,1
276855.431199998,196661.553599998,15.44917466693918,118.07078113837674,1
276805.7016,196537.282499999,5.263412295866047,118.60416841572574,1
278446.238899998,199731.306899998,54.63988873600143,110.88318224268198,1
277894.7311,198842.319200002,40.89759507979257,111.54774218231073,1
278149.0612,198712.058600001,35.19182233607663,112.21782568127864,1
274117.452100001,197217.316799998,23.65094353072234,114.45546663122349,1
288234.731299996,207699.099300001,19.514575033124935,86.73567300259565,1
278193.608199999,198681.555300001,34.95992355177171,112.36295929907625,1
278299.841200002,197768.7951,21.347818410180942,113.52033016292609,1
278894.340800002,196189.122000001,58.36165209817846,116.9423870851486,1
276570.263800003,196042.772799999,16.546066968346288,120.3943225727258,1
308926.512699999,214992.545600001,31.77211649700918,111.27238226681018,1
294057.405500002,219095.731699999,82.31742553550788,96.87746993886364,1
278449.765600003,195739.4397,44.77558088845352,118.82709087674766,1
279165.488399997,199821.765900001,29.975584168821833,111.474246994155,1
278242.174800001,198400.1296,79.2883472069093,112.75970833930836,1
278038.0876,197074.510200001,45.06891188079456,114.63951076715705,1
277985.642999999,196868.629000001,76.21055453886972,115.41310707633505,1
279344.117700003,202660.103700001,35.05308108216437,104.49472854105584,1
279616.674800001,202838.8233,67.3754748898718,105.02501060805137,1
281797.4507,197141.432,14.604461920589706,116.98533495535425,1
278473.948299997,197179.692299999,42.794328989341636,114.48433731804609,1
270032.854099996,213312.709600002,68.97521892588652,90.0094572444246,1
301086.2478,220467.2366,74.25501637843064,114.78294328044026,1
277082.840099998,210349.298,66.72784268239836,96.9518582168854,1
277058.548811354,210219.775711354,76.94189127176577,96.93168775964168,1
276982.017399997,210173.183499999,33.08058807861672,96.90754551609767,1
277020.884599999,210096.255199999,40.60615588470186,96.90831009889438,1
276977.151799999,209919.138999999,61.122938660163996,96.87624749467888,1
270712.609702996,195163.949986,64.58279515025632,115.44343839421259,1
277934.0942,217050.397700001,14.068707052153668,81.15222549108768,1
271895.041100003,211471.022599999,35.735200447212414,92.20487430315272,1
270060.966300003,213200.1842,19.392175950645004,90.08049791288373,1
304250.813600004,223190.075199999,80.8425681405276,123.19404765235447,1
301653.486900002,221641.320599999,18.7643416660054,116.63328820531747,1
301634.7883,221666.383699998,35.329386488580404,116.54002323349154,1
301676.953400001,221776.3895,17.419780444607163,116.42591887438209,1
288963.4943,226803.9998,87.00422319978972,81.35089297164761,1
293471.065200001,216042.260299999,77.27046039973303,99.13686439415255,1
268455.310000002,220493.6754,78.28019926967434,87.9046196956844,1
304467.740699999,231952.1668,86.41100920928132,105.04947778595243,1
289777.368199997,230247.398600001,47.05225493121849,82.41506996670401,1
286450.089000002,222595.9826,80.80179672696468,78.04789031862452,1
274477.866599999,206382.5251,89.32710754796956,96.1218784886784,1
285236.660099998,207087.397999998,67.64931376230179,90.95332366279169,1
292366.953400001,207182.714000002,62.203280296224044,83.34924381924706,1
309170.0044,211623.693799999,71.77936913312513,104.19361718516707,1
303556.827500001,210237.813000001,85.85614185495713,100.29014114090731,1
289641.093353194,210463.525667889,85.96385599009801,84.07407383886107,1
295886.432400003,208999.858100001,87.13451284058962,87.92929163216596,1
287403.624899998,223755.447500002,88.06572408646704,78.94247546366226,1
313235.048199996,200493.546500001,62.78635056709079,115.3252441604862,1
313888.132600002,200290.027899999,67.43819080027771,120.33748527409372,1
270048.679300003,213182.1083,60.661734988017876,90.10868506950436,1
269967.997299999,213194.149700001,31.7152756916121,90.18601955146528,1
314129.586978264,200111.68468841,84.04508088269561,123.10433015860738,1
293920.939599998,219107.077100001,67.2454036387521,96.5891381665331,1
293947.124600001,219200.0715,57.61885314300221,95.97195525117257,1
279621.443099998,195648.800700001,45.91434972121261,119.240676540739,1
293288.683200002,215520.274099998,82.33471636105531,98.10972492554737,1
269985.797300003,213082.235800002,83.1321738175336,90.26455990299874,1
309325.902800001,209349.170499999,82.15085848404192,108.91560464406405,1
309313.1796,209293.983899999,76.24567602815742,109.01758338016772,1
310999.046899997,214949.8464,70.73875276269932,115.78232285642844,1
270343.773500003,209297.642299999,33.647174543792104,94.9497569771768,1
270577.793399997,209363.307500001,39.80081744048061,94.94908274015766,1
270568.828599997,209322.791000001,38.01441794786749,95.00241064083129,1
270295.457400002,209747.645,9.914648913511927,94.29531385263805,1
292608.238799997,224535.7238,11.863792161943877,98.21439126966868,1
292623.145099998,224534.864300001,35.779668287629384,98.2282391466664,1
292732.409699999,224588.732700001,72.94496150117828,98.56248975861676,1
274977.972999997,197375.4549,63.83122400864083,114.39265999542042,1
263835.151299998,216892.151500002,51.982857291767395,94.56175180043925,1
308996.998099998,215471.607000001,83.82222623327213,113.6984192489759,1
270001.057599999,213330.120000001,64.94519638415026,90.03621442038114,1
295714.1241,218106.860100001,63.94663287814739,104.44541920529042,1
295489.840499997,218112.369800001,77.65546126914668,103.62783371763872,1
301079.830700003,220594.116999999,51.10173517388488,114.89650618767445,1
303784.158799998,221266.664299998,74.65605459953309,131.38090635433034,1
270002.640500002,213309.632599998,16.546066968346288,90.05524321059929,1
270011.613200001,213319.174199998,78.51908247085163,90.02759302995742,1
274155.238200001,196642.305500001,24.46813878518603,116.34143450192681,1
313868.586199999,200308.318599999,67.43521617388302,120.13397028768637,1
295505.634800002,203479.728,81.62035057527494,100.6025560727586,1
296335.122900002,217650.357000001,69.34985142450996,105.6161092255862,1
296165.380099997,217978.2049,41.40234502054196,106.00998695431926,1
295407.023599997,225511.904300001,45.91434972121261,99.60464327792008,1
296246.235799998,225194.9318,72.57526594722687,98.90423677448251,1
310898.594400004,215010.795499999,55.03743929034457,115.67657930887304,1
310942.372097208,214897.208799311,70.64000233910348,115.20384525639922,1
310530.0691,215015.617699999,87.09333891551958,114.52824220814054,1
309236.451200001,214885.717500001,80.04076066063297,111.44805893077138,1
304831.121100001,222395.636100002,83.9796550804869,135.7586354679064,1
293388.061099999,212725.229800001,71.4761920857721,92.18366159563645,1
293205.315099999,213142.061299998,69.04701878009266,93.47035246958617,1
283662.6197,200029.215100002,53.1511774678177,107.02346612980193,1
283644.023100004,199929.314100001,64.75553554368196,107.38670687425545,1
304052.827500001,222168.773600001,42.794328989341636,132.54349896820034,1
314558.276699997,200877.293299999,60.010688549052865,124.63602144577067,1
314992.579800002,200039.581799999,14.777996138794043,131.65416104327835,1
314970.854400001,199930.4067,70.942552355824,132.03693008003495,1
310010.969400004,211451.654800002,44.87402574315847,106.48635562166953,1
307808.162,204288.059300002,69.12044327939083,115.4688822901577,1
274091.8486,196498.5748,26.385936496176075,116.82386767592183,1
274236.265000001,196177.030200001,68.23807447399294,118.38379669135414,1
272546.123800002,195966.2733,17.419780444607163,118.00378007447335,1
269363.5198,194740.923099998,65.04246214935165,118.79140947107527,1
269944.726599999,213338.798999999,43.778875573037126,90.09059748493864,1
269947.172200002,213377.119199999,76.3204195796613,90.0441354850672,1
270043.025200002,213428.340300001,49.71419927818166,89.89532144580866,1
280813.774099998,196628.2487,23.928005692295585,117.85756476649335,1
278181.462899998,198472.523899999,54.441756331327035,112.51511035528313,1
278141.242299996,198398.6281,83.23532070003958,112.49145597451539,1
276954.101599999,196483.2863,22.985049087069,118.7653769897518,1
291228.618600003,198370.146899998,85.98731089911739,105.4008750369548,1
291410.435599998,221995.1741,81.8031234439455,84.94225382403113,1
292607.376900002,221308.852899998,76.65767713709695,85.13537528387613,1
280044.940700002,200164.847800001,55.59311446331589,111.54306238081068,1
279592.729900002,202972.804900002,28.795818672148897,104.39451721925596,1
277523.506399997,196775.540100001,72.39317462113667,116.66903163756474,1
302944.310900003,231811.638799999,28.795818672148897,101.15105070528928,1
270001.5929,213416.250599999,73.58000114125463,89.95058486439954,1
277239.877700001,205733.063299999,57.48536118900202,94.68669912137342,1
305931.935999997,226819.487799998,61.32713215124827,117.20851290145099,1
270047.704300001,213453.808899999,70.2710875449745,89.87506975804942,1
270053.132299997,213602.258499999,16.546066968346288,89.78056188183959,1
270050.686300002,213667.075199999,25.662219331479598,89.74005850632108,1
271979.346500002,212448.032200001,68.26204837966901,89.77097718589266,1
300460.975599997,205389.397599999,7.045807828333839,109.80130684125012,1
297318.707000002,205040.496599998,52.99287387169888,106.06434727121835,1
296993.758400001,205369.480599999,64.81371541654859,106.027719090111,1
300517.986400001,205113.4815,50.4673843916041,108.90234223662347,1
301058.217699997,206489.137899999,70.4494638740789,113.61333592769347,1
309606.376699999,214998.569499999,78.57462740320564,112.65320467386047,1
310912.548299998,215675.790100001,28.998386176826337,119.55372400440785,1
311394.8552,215188.2313,76.22138980243058,118.08160509692073,1
310331.984300002,214936.297600001,86.56689060329481,113.61160560384693,1
303291.605700001,215757.0057,47.240064336363204,111.99473132133183,1
296269.931100003,228713.737500001,35.735200447212414,89.62380306916963,1
272198.554099999,212595.0031,79.71179004394453,89.48954931191541,1
271755.331500001,213528.664900001,7.045807828333839,87.95583737894978,1
273191.268399999,213253.425099999,76.01387092181416,87.6233281959064,1
267378.01864657,213612.964980901,57.332033826622265,93.20202934082953,1
279579.244199999,202909.467700001,44.50133361597685,104.71461491756567,1
296247.481899999,228672.003899999,68.73541552263067,89.7874005149893,1
293909.478100002,218085.186700001,22.985049087069,100.513258579619,1
294042.049999997,218357.054099999,78.57462740320564,99.68408214662458,1
302154.211199999,223446.800799999,50.138031837703316,112.85733363891704,1
299544.2271,232056.324000001,43.858019142790724,92.83834305502066,1
297406.575366076,231632.982416316,75.22112780212306,88.4543645732978,1
305455.534900002,232466.445099998,72.59166479644131,108.40437448630219,1
305517.819499999,232452.343800001,47.587954739492716,108.68798518012429,1
305573.038800001,232459.2412,55.203701329497804,108.90171427975874,1
305607.573600002,232509.579,78.45715656232237,109.11950088138767,1
305705.297300003,232516.479600001,58.75794130007439,109.55176954320712,1
306003.361599997,232649.697000001,80.66016802862147,110.86984798829668,1
305971.809299998,232479.033100002,78.3030235357683,110.629307754586,1
306223.857799999,232684.973200001,80.63839674710033,111.54408723587458,1
306380.304399997,232722.309300002,64.96555419358863,111.97702632726447,1
278109.8376,198712.059900001,8.449168867088128,112.11868587420405,1
279386.710500002,202695.507399999,62.26993254131672,104.57913903634858,1
270015.888099998,213422.704599999,28.795818672148897,89.93184592129288,1
273278.821099997,198647.377599999,39.80081744048061,106.58713757772324,1
310987.518399999,222342.267200001,73.20697566379347,140.06225382970385,1
311743.630800001,222401.400899999,2.3591792086199836,142.95991173881066,1
311107.591700003,223015.5121,32.65588489816218,143.36933679460424,1
311021.272600003,223068.556899998,41.15206323406912,142.79012121051446,1
289431.754600003,217625.019200001,81.24917132126873,84.35737234673013,1
305128.222199999,222234.1417,31.485934387304184,136.05368089778537,1
305247.961499996,222107.308200002,23.273863688116617,135.91309040825803,1
305738.023699999,223483.730300002,81.74484370065899,136.34698064562883,1
