Map unit symbol,Map unit name,Rating (centimeters),Acres in AOI,Percent of AOI
KsC,"Kanuga-Swannanoa complex, 8 to 15 percent slopes",>200,123.8,0.00%
MvD,"Mars hill-Walnut complex, 15 to 30 percent slopes, stony",117,737,0.20%
MvE,"Mars hill-Walnut complex, 30 to 50 percent slopes, stony",117,"1,964.30",0.50%
MvF,"Mars hill-Walnut complex, 50 to 95 percent slopes, stony",117,214.2,0.10%
MwD,"Micaville-Brownwood complex, 15 to 30 percent slopes, stony",130,310,0.10%
MwE,"Micaville-Brownwood complex, 30 to 50 percent slopes, stony",130,560.3,0.10%
MwF,"Micaville-Brownwood complex, 50 to 95 percent slopes, stony",130,355.5,0.10%
NkA,"Nikwasi loam, 0 to 2 percent slopes, frequently flooded",66,188.8,0.00%
NtD,"Northcove-Maymead complex, 15 to 30 percent slopes, very stony",>200,508,0.10%
NtE,"Northcove-Maymead complex, 30 to 50 percent slopes, very stony",>200,194.4,0.00%
OwC,"Oconaluftee-Guyot-Cataloochee complex, windswept, 8 to 15 percent slopes, bouldery",>200,3.4,0.00%
OwD,"Oconaluftee-Guyot-Cataloochee complex, windswept, 15 to 30 percent slopes, bouldery",>200,11.6,0.00%
OwE,"Oconaluftee-Guyot-Cataloochee complex, windswept, 30 to 50 percent slopes, bouldery",>200,20.9,0.00%
OwF,"Oconaluftee-Guyot-Cataloochee complex, windswept, 50 to 95 percent slopes, bouldery",>200,24.1,0.00%
Pg,"Pits, gravel, occasionally flooded",>200,145.4,0.00%
Pt,"Pits, quarry",0,430.9,0.10%
PwC,"Porters-Unaka complex, 8 to 15 percent slopes, stony",137,205.5,0.00%
PwD,"Porters-Unaka complex, 15 to 30 percent slopes, stony",137,"2,020.70",0.50%
PwE,"Porters-Unaka complex, 30 to 50 percent slopes, stony",137,"7,335.20",1.70%
PxF,"Porters-Unaka complex, 50 to 95 percent slopes, rocky",137,"11,003.30",2.60%
RdA,"Reddies sandy loam, 0 to 3 percent slopes, occasionally flooded",66,768.7,0.20%
RkF,"Rock outcrop-Cleveland complex, 30 to 95 percent slopes, very bouldery",0,"2,250.60",0.50%
RoF,"Rock outcrop-Oteen complex, 30 to 95 percent slopes, very bouldery",0,"1,147.60",0.30%
RsA,"Rosman fine sandy loam, 0 to 3 percent slopes, occasionally flooded",>200,"1,339.10",0.30%
SoD,"Soco-Stecoah complex, basin, 15 to 30 percent slopes, stony",86,101,0.00%
SoE,"Soco-Stecoah complex, basin, 30 to 50 percent slopes, stony",86,342.7,0.10%
SoF,"Soco-Stecoah complex, basin, 50 to 95 percent slopes, stony",86,480.4,0.10%
StB,"Statler loam, 1 to 5 percent slopes, rarely flooded",>200,996.9,0.20%
SyD,"Sylco-Soco complex, 15 to 30 percent slopes, stony",58,304.4,0.10%
SyE,"Sylco-Soco complex, 30 to 50 percent slopes, stony",58,826,0.20%
SzF,"Sylco-Soco complex, 50 to 95 percent slopes, very stony",58,"1,214.70",0.30%
TaB,"Tate loam, basin, 2 to 8 percent slopes",>200,"5,057.30",1.20%
