index,raw_Max_Rainfall_30day,raw_Max_Rainfall_3day,raw_R1d,raw_R3d,raw_Elevation_m,raw_Slope_deg,raw_Soil_Depth_Deep200_Flag,x_Max_Rainfall_30day,x_Max_Rainfall_3day,x_R1d,x_R3d,x_Elevation_m,x_Slope_deg,x_Soil_Depth_Deep200_Flag,shap_Max_Rainfall_30day,shap_Max_Rainfall_3day,shap_R1d,shap_R3d,shap_Elevation_m,shap_Slope_deg,shap_Soil_Depth_Deep200_Flag,expected_value,shap_sum,shap_abs_sum,y_proba,y_pred,y_true,IsLandslide,Event_Date,Sort_Date,Random_Date,X,Y,County,GlobalID,OBJECTID,Data_Type,Source_Period,MUKEY,MUSYM
2,57.71900177001953,57.165000915527344,50.51900100708008,146.47700119018555,837.76416015625,2.2059390091000672,0.0,57.71900177001953,57.165000915527344,50.51900100708008,146.47700119018555,837.76416015625,2.2059390091000672,0.0,-0.02157352344770012,-0.029597962929423682,-0.0013327987045822789,-0.00937009136068598,0.04298236948259643,-0.18512132821196192,0.0025278579933380556,0.5014854771784234,-0.20148547717841953,0.29250593213028847,0.3,0,0,0,2020-05-22 04:51:09,,2020-05-22 04:51:09,308625.51698581566,220746.64462786613,,,,NonLandslide,2017_2021,1672002.0,DEA
5,77.8572998046875,7.392399787902832,0.0,8.712899804115295,830.7734985351562,22.09202823715287,1.0,77.8572998046875,7.392399787902832,0.0,8.712899804115295,830.7734985351562,22.09202823715287,1.0,0.009835654578154598,0.09800529842334085,0.055158492880411955,0.07048497182123695,0.12102516430642743,0.05658464787962975,0.01342029293237811,0.5014854771784234,0.42451452282157964,0.42451452282157964,0.926,1,1,1,2021-08-24 00:00:00,2021-08-24,,291056.044408626,197673.44689506,Buncombe,{B15A2A55-6109-4150-9F55-B80DBEE4969F},115165.0,Landslide,2017_2021,1672007.0,EDF
8,18.163000106811523,0.0,0.0,0.0,1467.292236328125,36.66775111980665,0.0,18.163000106811523,0.0,0.0,0.0,1467.292236328125,36.66775111980665,0.0,-0.0035258357864362106,0.01143021860021956,0.03128918515568061,0.011066951443959408,-0.009230663265072334,0.3265192891106705,-0.011034622437444054,0.5014854771784234,0.3565145228215775,0.4040967657994827,0.858,1,1,1,2005-05-11 00:00:00,2005-05-11,,301676.953400001,221776.3895,Buncombe,{B45EC937-033E-44FC-848D-B68CD783798D},58159.0,Landslide,2005_2010,1671995.0,CXF
9,42.99399948120117,0.0,0.0,0.0,958.2073364257812,13.093067418708271,0.0,42.99399948120117,0.0,0.0,0.0,958.2073364257812,13.093067418708271,0.0,-0.04185409141257895,-0.05587202943535879,-0.002053834115284866,-0.062362857790887245,0.019217800932050003,-0.22442599596969015,-0.004134469386669196,0.5014854771784234,-0.3714854771784192,0.4099210790425192,0.13,0,0,0,2017-05-20 07:49:53,,2017-05-20 07:49:53,300177.2599256228,215329.19244520125,,,,NonLandslide,2017_2021,1671927.0,ACD
11,31.381999969482425,0.5619999766349792,0.0,0.5619999766349792,1079.6439208984375,33.609892522392364,0.0,31.381999969482425,0.5619999766349792,0.0,0.5619999766349792,1079.6439208984375,33.609892522392364,0.0,0.0360096423196066,0.0286763810108324,0.03819466283053775,0.013460084015161591,0.06038324151098126,0.2611792498604234,0.0026112612740361724,0.5014854771784234,0.44051452282157916,0.44051452282157916,0.942,1,1,1,2008-02-25 00:00:00,2008-02-25,,267436.547499999,209686.920000002,Buncombe,{735AFDC8-F08A-4B6E-AAF2-E0EB55D26070},59142.0,Landslide,2005_2010,1672192.0,UKF
18,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,1015.5310668945312,28.40929427109924,1.0,18.742000579833984,10.069000244140623,5.22599983215332,20.992000102996823,1015.5310668945312,28.40929427109924,1.0,0.023801190993083844,-0.005988956746506941,-0.0910415924148859,-0.03690909741693058,-0.01806769085735166,0.11552806557304013,0.005192603691129742,0.5014854771784234,-0.007485477178421364,0.29652919769292874,0.494,0,1,1,2008-06-30 00:00:00,2008-06-30,,300827.453599997,233842.304400001,Buncombe,{FF8147D4-30D3-420D-B5B0-06FB2E781C5C},59527.0,Landslide,2005_2010,1672015.0,EWD
27,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,793.3729858398438,27.11568073144447,1.0,31.46299934387207,10.019000053405762,0.4280000030994415,17.59900000691414,793.3729858398438,27.11568073144447,1.0,0.03829238656156724,0.04684787150035525,0.0712368325752638,0.03906876775033399,0.09776906179751789,0.12270257723705005,0.010597025399492501,0.5014854771784234,0.42651452282158075,0.42651452282158075,0.928,1,1,1,2008-02-29 00:00:00,2008-02-29,,270053.132299997,213602.258499999,Buncombe,{388DA286-13B8-4428-8477-A2F888F5B5CC},59275.0,Landslide,2005_2010,1672007.0,EDF
30,30.73500061035156,21.74099922180176,21.74099922180176,35.30599880218506,689.3467407226562,21.455099733065655,1.0,30.73500061035156,21.74099922180176,21.74099922180176,35.30599880218506,689.3467407226562,21.455099733065655,1.0,-0.012716994766802964,0.005473905339805234,-0.0694609571161308,0.006206541922368311,0.0254289376894324,0.07667992617373715,0.0009031635791686313,0.5014854771784234,0.03251452282157795,0.1968704265874455,0.534,1,0,0,2019-10-28 05:05:43,,2019-10-28 05:05:43,269415.79234918347,219422.4598037967,,,,NonLandslide,2017_2021,1672007.0,EDF
31,20.465999603271484,14.765999794006348,14.765999794006348,30.86899995803833,796.9114379882812,24.783273527710904,1.0,20.465999603271484,14.765999794006348,14.765999794006348,30.86899995803833,796.9114379882812,24.783273527710904,1.0,0.007696496767839559,0.01765408286813311,-0.02312633847742361,0.03425293923144077,0.048747691547345526,0.0033209452419742528,0.003968705642267428,0.5014854771784234,0.09251452282157703,0.13876719977642427,0.594,1,1,1,2008-04-07 00:00:00,2008-04-07,,293278.329259848,200751.357855296,Buncombe,{B1152BF6-4E10-4CB2-B342-56384D38BF0D},60911.0,Landslide,2005_2010,1672006.0,EDE
33,20.802000045776367,1.7489999532699585,0.0,1.7489999532699585,734.606689453125,17.83362101979865,0.0,20.802000045776367,1.7489999532699585,0.0,1.7489999532699585,734.606689453125,17.83362101979865,0.0,-0.04573144833732113,0.04800445610027787,0.00946338751527233,0.0318478287459934,-0.048266295634527355,0.008310055738619064,-0.039113461306736486,0.5014854771784234,-0.035485477178422306,0.23073693337874762,0.466,0,1,1,2013-09-16 00:00:00,2013-09-16 00:00:00,,296868.064842677,195664.656992986,Buncombe,{3D73426C-8CEA-4D86-8DB1-DFA860053CDF},61175.0,Landslide,2011_2016,1672082.0,SYE
45,12.65999984741211,2.188999891281128,0.0,2.9089999198913574,848.4461059570312,30.043719945534093,1.0,12.65999984741211,2.188999891281128,0.0,2.9089999198913574,848.4461059570312,30.043719945534093,1.0,-0.003954908387610344,0.053602893881734906,0.0405541878013461,0.04230015051247598,0.06394089322636864,0.15232333730414327,0.007747968483121224,0.5014854771784234,0.35651452282157975,0.36442433959680043,0.858,1,1,1,2008-06-25 00:00:00,2008-06-25,,296269.931100003,228713.737500001,Buncombe,{65F254DD-DEDD-47B5-BBEC-723EFAC0917B},59351.0,Landslide,2005_2010,1672096.0,TPE
46,43.92300033569336,0.4449999928474426,0.0,0.4449999928474426,686.3325805664062,1.1973690691675083,1.0,43.92300033569336,0.4449999928474426,0.0,0.4449999928474426,686.3325805664062,1.1973690691675083,1.0,-0.038341235639797404,-0.04762923932201646,0.002790945845911307,-0.06670789275372171,-0.07842461443873729,-0.24186056571056466,0.0006871248405077575,0.5014854771784234,-0.46948547717841843,0.4764416185512566,0.032,0,0,0,2019-09-22 15:11:46,,2019-09-22 15:11:46,290373.91743072,195537.37163446145,,,,NonLandslide,2017_2021,1672107.0,UD
